Year,ID,Gen,Variety,Moist,DM,Cprot,Psolu,ADICP,ADICP_pct,NDICP,CP_Av,ADF,aNDF,aNDFo,Ligin,Starc,Su_WS,Su_ES,Ash,Ca,P,Mg,K,S,Fat,T_NDFd30,T_NDFd48,NDFD120,NDFD240,S_NDFd24,S_NDFd30,NDF_I,NDF_Kd,TTNDFD,S_NDFd48,uNDF30,uNDF120,uNDF240,RUP,NDF_D,RFV,T_RFQ,S_RFQ,TTNDFD,NFC,T_Milk30_TDN,T_Milk30_NEL,T_Milk30_NEG,T_Milk30_NEM,T_Milk30,T_Milk48_TDN,T_Milk48_NEL,T_Milk48_NEG,T_Milk48_NEM,T_Milk48_S,S_Milk30_TDN,S_Milk30_NEL,S_Milk30_NEG,S_Milk30_NEM,S_Milk30,S_Milk48_TDN,S_Milk48_NEL,S_Milk48_NEG,S_Milk48_NEM,S_Milk48_S,Lig_TDN,Lig_NEL,Lig_NEG,Lig_NEM,NRC,Cal_TDN,ADF_TDN,ADF_NEL,ADF_NEG,ADF_NEM
18,10101,123,467915,5.01,94.99,22.34,32.89,0.51,2.26,0.79,21.84,31.87,37.96,34.48,6.67,1.52,6.88,6.23,10.47,1.38,0.3,0.38,2.06,0.3,1.78,45.2,54.91,55.53,59.45,26.45,29.84,40.55,4.48,41.4,47.65,20.8,16.88,15.39,21.49,5.97,157,162.25,153.11,40.45,28.24,60.43,0.61,0.36,0.62,2737.73,59.64,0.61,0.35,0.61,2796.62,56.83,0.6,0.3,0.56,2486.02,59.07,0.61,0.34,0.6,2721.83,59.77,0.67,0.35,0.61,2.39,,,,,
18,10102,29,499660,4.96,95.04,20.5,27.98,0.47,2.27,0.78,20.03,31.45,38.62,36.25,6.5,2.38,7.83,7.11,9.07,1.27,0.27,0.32,2.07,0.27,2.03,46.18,57.85,58.39,58.93,28.15,31.02,41.07,3.92,39,46.44,20.78,16.07,15.86,24.44,5.77,155,170.34,151.16,39.36,30.56,62.23,0.64,0.39,0.66,2879.63,61.95,0.63,0.39,0.65,2965.99,58.74,0.62,0.33,0.59,2635.33,60.06,0.63,0.35,0.62,2822.31,61.45,0.67,0.38,0.64,2.36,,,,,
18,10103,162,AFX457,4.98,95.02,19.1,27.56,0.45,2.36,1.1,18.65,32.97,40.95,38.07,6.71,2.2,7.59,7.43,8.51,1.19,0.25,0.3,2.12,0.25,1.96,45.68,55.79,57.23,60.96,24.14,28.53,39.04,3.27,37.3,43.82,22.24,17.52,15.99,25.02,5.06,144,155.16,135.13,37.48,30.58,61.55,0.63,0.38,0.64,2825.41,60.8,0.62,0.37,0.63,2887.65,56.85,0.61,0.3,0.56,2524.49,58.52,0.61,0.33,0.59,2725.69,60.98,0.66,0.37,0.63,2.33,,,,,
18,10104,201,22338_VernalFD2,5,95,21.27,29.89,0.49,2.31,0.88,20.78,33.12,40.34,37.92,6.79,1.79,7.21,6.37,9.03,1.23,0.29,0.33,2.21,0.28,1.98,46.64,57.67,58.92,60.17,27.59,30.65,39.83,3.58,38.3,45.9,21.53,16.57,16.07,25.36,5.48,146,161.01,141.14,38.96,28.26,61.54,0.62,0.38,0.64,2809.88,61,0.62,0.37,0.63,2883.94,57.53,0.61,0.31,0.57,2543.31,58.89,0.61,0.34,0.6,2730.82,60.51,0.66,0.36,0.63,2.35,,,,,
18,10105,126,467938,4.85,95.15,19.96,24.74,0.46,2.3,1.01,19.5,33.36,40.4,36.81,6.73,2.56,6.97,5.61,10.38,1.34,0.27,0.36,2.07,0.28,1.98,47.37,57.45,58.04,58.62,30.4,31.2,41.38,4.07,39.3,47.33,21.26,16.95,16.72,22.62,5.99,145,157.23,141.34,39.97,28.29,60.62,0.61,0.36,0.63,2718.77,59.72,0.6,0.35,0.61,2774.84,56.59,0.59,0.3,0.55,2451.44,58.18,0.6,0.32,0.58,2651.72,59.3,0.66,0.34,0.6,2.33,,,,,
18,10106,191,SW42032,4.96,95.04,20.03,26.12,0.46,2.3,0.77,19.57,31.9,38.88,36.21,6.51,2.86,7.7,7.27,9.73,1.28,0.26,0.32,2.09,0.27,2,47.1,56.39,57.45,58.51,26.41,27.8,41.49,3.57,37.2,44.21,20.57,16.54,16.13,24.32,5.39,153,163.72,143.08,37.49,30.13,61.8,0.63,0.38,0.65,2828.32,60.71,0.62,0.37,0.63,2873.52,56.41,0.6,0.29,0.55,2487.72,58.48,0.61,0.33,0.59,2711.92,60.68,0.66,0.37,0.63,2.33,,,,,
18,10107,159,AFX003,4.9,95.1,21.76,29.85,0.46,2.13,0.85,21.3,32.07,37.94,34.25,6.41,1.91,7.15,6.07,10.47,1.35,0.3,0.36,2.25,0.3,1.97,48.78,59.23,60.37,61.52,28.08,31.11,38.48,4.14,41.6,48.59,19.43,15.04,14.6,21.08,5.8,157,173.5,156.07,41.21,28.7,62.09,0.62,0.39,0.65,2831.3,61.23,0.62,0.37,0.64,2889.77,57.71,0.61,0.32,0.57,2541.47,59.67,0.61,0.35,0.61,2763.53,60.39,0.66,0.36,0.62,2.35,,,,,
18,10108,139,464740,5.12,94.88,20.25,28.51,0.47,2.31,0.78,19.78,33.54,41.69,39.19,6.74,2.2,7.18,6.98,8.89,1.25,0.29,0.34,2.07,0.27,1.81,48.81,58.07,59.52,62.29,27.72,31.55,37.71,3.46,39.1,46.83,21.34,16.88,15.72,24.81,5.37,140,155.44,136.77,39.83,28.13,61.71,0.62,0.38,0.65,2786.42,60.37,0.61,0.36,0.62,2823.03,57.09,0.6,0.3,0.56,2494.68,58.39,0.6,0.33,0.59,2678.63,60.02,0.65,0.35,0.62,2.32,,,,,
18,10109,77,452477,4.56,95.44,21.33,28.64,0.48,2.27,0.91,20.84,32.82,39.57,35.92,6.7,1.75,7.1,5.64,10.14,1.29,0.3,0.34,2.3,0.28,1.97,48.25,58.68,58.96,59.23,29.09,31.33,40.77,4.69,41.9,48.86,20.48,16.24,16.13,22.15,6.27,149,164.61,149.19,41.39,27.9,61.48,0.62,0.38,0.64,2782,60.63,0.61,0.36,0.63,2841.05,57.24,0.6,0.31,0.56,2502.77,59.27,0.61,0.34,0.6,2726.64,59.81,0.67,0.35,0.61,2.37,,,,,
18,10110,69,204591,4.78,95.22,19.57,27.26,0.5,2.56,0.7,19.07,34.61,42.1,39.39,7.26,1.68,7.05,6.55,9.42,1.23,0.26,0.31,2.32,0.26,1.75,44.72,56.1,56.91,57.72,26.62,29.9,42.28,4.04,38.6,45.49,23.28,18.14,17.8,23.34,5.78,137,147.38,130.53,38.6,27.86,59.17,0.6,0.34,0.6,2632.39,58.9,0.6,0.34,0.6,2718.72,55.4,0.58,0.28,0.53,2381.01,57.05,0.59,0.3,0.56,2581.26,58.55,0.65,0.33,0.59,2.3,,,,,
