Loc,NIR Sample Number,Analysis Date,ID,Variety,Cutting,DM,Cprot,ADF,aNDF,Ash,Fat,Ligin,dNDF30,IVTDMD30,dNDF48,IVTDMD48,Ca,P,K,Mg,Su_ES,Su_WS,Starc
OR_19,15,11/6/19,30103,E: 201,2,94.27052,19.53527,35.49018,42.31453,10.04851,1.88005,6.02576,16.97231,74.29308,20.52906,78.09553,1.11366,0.34557,3.47261,0.29815,5.41453,6.03480,3.13373
OR_19,1,11/6/19,30120,E: 202,2,94.43314,20.11096,35.61075,42.30037,10.14182,1.88515,6.00478,15.88610,73.74190,19.98185,77.66630,1.19826,0.32419,3.29284,0.29956,5.66838,5.99166,3.26837
OR_19,11,11/6/19,30210,E: 201,2,94.20609,20.01763,34.96880,41.85058,10.09211,2.09772,5.81303,16.66250,75.19342,20.43147,78.83276,1.15718,0.35791,3.44539,0.30371,5.05280,5.72921,3.57674
OR_19,10,11/6/19,30217,E: 202,2,94.19648,22.06803,30.64402,36.35498,9.53844,2.05588,4.99679,15.01667,78.77229,17.46224,81.27524,1.35501,0.33534,2.64245,0.36782,6.85189,7.39357,4.08268
OR_19,9,11/6/19,30309,E: 202,2,94.17609,22.50271,31.13613,37.18843,9.30992,2.10448,5.17442,15.09030,78.44839,18.19124,80.97568,1.22236,0.35478,2.67336,0.37169,6.54311,6.84088,4.20110
OR_19,2,11/6/19,30311,E: 144,2,94.16348,22.24869,30.95228,37.15819,9.07580,2.16206,5.15167,14.75878,78.21433,18.09776,80.70069,1.22791,0.34919,2.71595,0.35425,6.27039,6.57387,4.39415
OR_19,16,11/6/19,30317,E: 104,2,94.39672,22.54606,31.88356,37.38365,9.69432,2.13522,5.24955,15.67083,78.41753,18.50568,80.90854,1.28199,0.36136,2.91665,0.35616,6.36849,6.70094,3.72808
OR_19,3,11/6/19,30320,E: 201,2,93.89858,22.61266,32.18750,39.60334,9.98961,2.25205,5.43436,15.73678,77.02778,19.96050,80.52906,1.33009,0.36815,3.14849,0.36271,5.38377,5.86517,3.60241
OR_19,14,11/6/19,30406,E: 201,2,93.70294,23.16816,30.78825,37.48487,10.10831,2.34710,5.13339,14.95417,78.44320,19.10983,81.59341,1.31654,0.37398,3.11589,0.36498,5.43354,5.93495,4.10111
OR_19,6,11/6/19,30410,E: 44,2,94.10877,20.87214,35.50134,42.61267,10.58415,1.90545,5.94758,16.45841,74.10802,20.35215,78.04930,1.24883,0.36103,3.39283,0.32119,5.35850,6.03345,3.26469
OR_19,5,11/6/19,30413,E: 202,2,94.50860,21.51438,31.68997,38.56546,9.47053,2.04315,5.39658,15.17400,77.40652,17.89942,79.65511,1.25829,0.33683,2.66944,0.35989,6.75169,7.26241,4.01305
OR_19,19,11/6/19,30414,E: 112,2,94.09040,22.60444,31.03173,36.20840,10.60048,2.15310,4.96887,14.92579,78.80234,18.55847,81.91608,1.36918,0.36444,3.28137,0.35381,6.16726,6.87818,3.63527
OR_19,13,11/6/19,30505,E: 201,2,94.34494,20.77670,32.80539,39.01934,9.43634,1.80726,5.68143,16.28226,76.76772,18.64930,79.77516,1.30853,0.33234,2.71002,0.35303,6.97510,7.56721,3.32602
OR_19,7,11/6/19,30508,E: 202,2,93.98613,21.93392,32.09552,38.54375,9.46315,2.23653,5.35272,15.28768,77.71207,18.93122,80.53236,1.23080,0.36157,2.99504,0.33685,5.83391,6.24351,4.18754
OR_19,17,11/6/19,30601,E: 201,2,94.16483,21.53595,31.19581,37.95585,9.85358,2.09894,5.22628,15.26471,77.54784,18.45093,80.61163,1.32828,0.33652,2.75760,0.35361,6.32785,7.05197,3.81384
OR_19,21,11/6/19,30612,E: 202,2,94.48683,21.13799,32.07845,38.13448,9.92505,1.75333,5.41236,15.44750,77.03918,17.44136,79.10822,1.22240,0.32920,2.76888,0.31364,6.80558,7.80511,4.14382
OR_19,4,11/6/19,30704,E: 201,2,94.33399,21.29381,31.44156,37.05051,10.09663,1.92746,5.04805,15.57880,78.40524,18.21139,81.11820,1.39062,0.33922,3.01419,0.34355,6.35654,7.11827,4.34683
OR_19,22,11/6/19,30719,E: 202,2,94.36018,22.92510,30.44227,36.36100,10.28443,2.01759,5.03859,14.97302,78.74019,18.20668,81.58153,1.29614,0.35482,3.11387,0.34846,6.55682,7.21248,3.24587
OR_19,23,11/6/19,30807,E: 201,2,93.84194,21.69719,32.79557,39.07940,9.43065,2.29625,5.41066,15.96457,78.00452,19.86584,81.21449,1.20603,0.37277,3.19699,0.32287,5.19289,5.53852,3.96960
OR_19,8,11/6/19,30818,E: 202,2,94.33434,20.36704,34.81546,40.96535,10.17112,1.76818,5.87296,16.32011,74.99351,18.94615,77.98094,1.16880,0.34098,3.20560,0.29256,5.81134,6.70103,3.63811
OR_19,20,11/6/19,30819,E: 61,2,94.02503,21.01023,31.96677,38.27977,9.25714,1.90089,5.37296,15.17796,77.41034,18.32133,79.77850,1.27927,0.34104,2.86076,0.33185,6.43342,7.05442,4.86587
OR_19,26,11/6/19,30907,E: 202,2,94.22039,21.49889,34.22040,40.45567,9.31442,1.94750,5.86550,16.65115,76.47682,19.68170,79.34481,1.11799,0.36397,2.97807,0.32860,5.85751,6.04373,3.54623
OR_19,12,11/6/19,30916,E: 201,2,94.42671,19.09265,36.25719,42.66447,9.51191,1.72740,6.18887,17.19729,74.06951,19.98502,77.37305,1.15675,0.33730,3.12017,0.30304,6.05640,6.64480,3.67198
OR_19,27,11/6/19,31010,E: 202,2,94.03065,22.40308,33.39224,39.17715,9.24150,1.88520,5.69796,15.94868,76.95160,18.82060,79.43643,1.13165,0.36008,2.95952,0.33356,6.28744,6.42624,3.80764
OR_19,25,11/6/19,31017,E: 201,2,94.27777,19.63368,34.14854,40.78852,9.74340,2.04300,5.72345,16.25058,75.73834,19.74914,79.15935,1.20590,0.34535,3.18207,0.30198,6.13170,6.81608,3.68767
OR_19,24,11/6/19,31103,E: 201,2,94.19242,21.07493,31.86277,37.46787,9.66119,2.02936,5.28157,15.61042,78.17303,18.81231,80.98569,1.22247,0.34655,3.27561,0.31844,6.22290,6.80058,3.75479
OR_19,18,11/6/19,31118,E: 202,2,94.53807,21.03902,32.06881,38.91645,10.22938,1.91738,5.38817,15.50451,76.87785,18.33136,79.68329,1.23359,0.33717,2.98185,0.33053,6.53274,7.39333,3.64849
OR_19,50,11/6/19,30103,E: 201,3,95.72923,19.10919,32.43447,38.58816,10.00243,1.98022,5.09712,16.12473,77.26956,19.33890,79.86663,1.06505,0.33225,3.24699,0.26977,6.56387,7.62831,4.75119
OR_19,52,11/6/19,30120,E: 202,3,94.31889,18.93065,33.92817,40.13948,10.06391,2.17385,5.53714,15.23841,75.58694,18.73001,78.45029,1.15499,0.32852,3.36082,0.26783,5.52320,6.41634,4.13646
OR_19,42,11/6/19,30210,E: 201,3,94.26472,19.35560,32.97543,38.67735,9.64523,2.08200,5.29207,15.66360,77.35703,18.88612,79.77841,1.11618,0.32562,3.31945,0.26074,6.27172,7.16354,4.40436
