Loc,NIR Sample Number,Analysis Date,ID,Variety,Sample Identification String Two,Cutting,DM,Cprot,ADF,aNDF,Ash,Fat,Ligin,dNDF30,IVTDMD30,dNDF48,IVTDMD48,Ca,P,K,Mg,Su_ES,Su_WS,Starc
WA_19,1,7/30/2019,10404,201: Vernal FD2,Block 1 Post 4,2,93.6103745,26.0137653,27.2319145,32.8290329,9.8487673,1.901897,4.7622886,14.1544447,80.0573425,16.744173,83.1828079,1.3879031,0.3605395,2.4783154,0.4064043,8.0336027,8.566638,3.2586193
WA_19,,,10115,202: Hi Gest360,B1 P15 missing,2,,,,,,,,,,,,,,,,,,
WA_19,2,7/30/2019,10205,202: Hi Gest360,Block 2 Post 5,2,93.8882523,23.9824505,29.8573666,35.7106514,9.4650631,1.6598372,5.2744904,14.4943495,77.1605148,16.661829,80.3251877,1.3170259,0.3326792,2.2598124,0.3771646,8.0672846,8.4420271,3.3613698
WA_19,3,7/30/2019,10206,104: Archer,Block 2 Post 6,2,93.6562042,26.090271,29.1173916,34.6446953,10.0888157,1.8817747,4.9981112,14.6020222,79.1351395,17.0881386,82.1277084,1.2660773,0.3703176,2.7038066,0.3840524,7.5539193,7.819859,3.2322075
WA_19,4,7/30/2019,10214,201: Vernal,Block 2 Post 14,2,93.6829605,25.5004177,27.8178921,33.0811462,10.494812,1.7806681,4.706831,14.3473387,79.4361496,16.9771919,83.2320633,1.362517,0.3566554,2.7201109,0.3966314,8.1594324,8.9497042,2.6851468
WA_19,5,7/30/2019,10302,201: Vernal,Block 3 Post 2,2,93.9168091,25.5465946,27.3073559,32.6890411,10.2950392,1.9225187,4.5151744,14.0574436,80.1094208,16.5198917,83.2150803,1.3353064,0.3541436,2.4774895,0.3935537,8.3365965,8.9023104,3.1453741
WA_19,6,7/30/2019,10312,202: Hi Gest360,Block 3 Post 12,2,93.8498383,25.1550255,28.2437019,34.0131378,9.8101511,1.8096461,4.9412146,14.6990967,79.3730011,16.3905182,82.1694717,1.4532311,0.3455405,2.0983794,0.4262692,8.4743423,9.1891317,3.3932512
WA_19,7,7/30/2019,10407,202: Hi Gest360,Block 4 Post 7,2,93.995285,25.107275,28.5652218,33.9741783,10.0046692,1.8900776,4.8792481,14.533906,79.5507431,16.9114265,82.1150208,1.1552317,0.3689944,2.790283,0.3625774,7.6412611,8.026207,3.3076906
WA_19,8,7/30/2019,10413,201: Vernal,Block 4 Post 13,2,93.8956757,24.5555859,27.7585392,32.5093117,9.3014631,1.9111203,4.7729373,13.8044052,80.2630615,16.3072472,82.5364075,1.2992402,0.3437048,2.5546906,0.3699562,8.3558855,8.6191502,3.7270043
WA_19,9,7/30/2019,10419,61: ABI700,Block 4 Post 19,2,93.7095184,25.4592953,27.6386909,33.1341896,10.0948391,1.7921739,4.7035613,14.2113085,79.9321976,16.479641,83.0208817,1.3665257,0.3513668,2.5115514,0.3879083,8.370079,9.1211863,3.1530237
