env,env2,loc,env3,year,cut,trait,gen,predicted.value,std.error,status,weight,FD,Var,date_init,date,harv_days1,harv_days2,harv_days3,cut_freq,cons_days,cons_days1
ID_2018_1,ID_2018,ID,2018_1,2018,1,ADF,44,29.2042532790596,0.714853758102398,Estimable,2.01314080116939,4,Legend,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,ADF,61,28.7360633197649,0.674559725311682,Estimable,2.20316042589498,6,ABI700,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,ADF,104,29.3842532790595,0.714853758102398,Estimable,2.01314080116939,5,Archer,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,ADF,112,29.0839366802351,0.674559725311682,Estimable,2.20316042589498,1,Maverick,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,ADF,144,28.1181899592947,0.696340095301761,Estimable,2.10181662604133,3,22277_5246,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,ADF,201,29.2439366802351,0.21156434754057,Estimable,22.8412874368571,2,Vernal,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,aNDF,44,32.9599984740281,0.892484408007401,Estimable,1.25544798746013,4,Legend,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,aNDF,61,32.109999618507,0.892483730667678,Estimable,1.25544989306782,6,ABI700,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,aNDF,104,31.7099984740281,0.892484408007401,Estimable,1.25544798746013,5,Archer,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,aNDF,112,32.910000381493,0.892483730667678,Estimable,1.25544989306782,1,Maverick,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,aNDF,144,30.8599988555211,0.892484091915595,Estimable,1.25544887674372,3,22277_5246,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,aNDF,201,32.2545458360384,0.269094105797815,Estimable,13.8099348492896,2,Vernal,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Ash,44,10.7808524201806,0.849785619204654,Estimable,1.42833599173561,4,Legend,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Ash,61,12.3077131050452,0.79950982231212,Estimable,1.56870572112496,6,ABI700,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Ash,104,10.9608524201806,0.849785619204653,Estimable,1.42833599173561,5,Archer,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Ash,112,11.7922868949548,0.79950982231212,Estimable,1.56870572112497,1,Maverick,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Ash,144,10.7231393151355,0.826704158316673,Estimable,1.49384186545065,3,22277_5246,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Ash,201,11.8286505313185,0.251268729329814,Estimable,16.2263849168527,2,Vernal,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Ca,44,1.41643614054933,0.0513045088660533,Estimable,390.716240153872,4,Legend,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Ca,61,1.50660903513733,0.0484301089052169,Estimable,427.409213993533,6,ABI700,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Ca,104,1.44643614054933,0.0513045088660533,Estimable,390.716240153872,5,Archer,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Ca,112,1.42339096486267,0.0484301089052169,Estimable,427.409213993533,1,Maverick,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Ca,144,1.409827105412,0.0499836967953177,Estimable,407.839627945714,3,22277_5246,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Ca,201,1.45248187395358,0.0151855001699139,Estimable,4432.41954577135,2,Vernal,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Cprot,44,27.4282887000989,0.705680288249382,Estimable,2.04786183063343,4,Legend,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Cprot,61,27.3895721750247,0.673099800228964,Estimable,2.21100721901588,6,ABI700,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Cprot,104,27.8082887000987,0.705680288249381,Estimable,2.04786183063343,5,Archer,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Cprot,112,26.6704278249753,0.673099800228963,Estimable,2.21100721901588,1,Maverick,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Cprot,144,28.0387165250741,0.690667345942446,Estimable,2.1239963452119,3,22277_5246,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Cprot,201,27.3104278249753,0.209547324481718,Estimable,23.12467989437,2,Vernal,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Fat,44,1.66645510220313,0.0652896784846887,Estimable,241.667021770758,4,Legend,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Fat,61,1.74161377555078,0.0615129711907343,Estimable,264.976308180203,6,ABI700,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Fat,104,1.77645510220313,0.0652896784846887,Estimable,241.667021770758,5,Archer,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Fat,112,1.96838622444922,0.0615129711907343,Estimable,264.976308180203,1,Maverick,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Fat,144,1.85484132665235,0.063555149964975,Estimable,252.544688761832,3,22277_5246,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,Fat,201,1.83111349717649,0.019313466692864,Estimable,2743.80462297964,2,Vernal,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,K,44,2.62716298237362,0.146497519098157,Estimable,47.9037477996464,4,Legend,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,K,61,2.60679074559341,0.138342325344599,Estimable,52.3783589547998,6,ABI700,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,K,104,2.39716298237362,0.146497519098157,Estimable,47.9037477996463,5,Archer,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,K,112,2.5232092544066,0.138342325344599,Estimable,52.3783589547998,1,Maverick,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,K,144,2.38037223678022,0.142749752524613,Estimable,49.9918996720513,3,22277_5246,2018-01-01,2018-07-18,1,1,198,1,1,198
ID_2018_1,ID_2018,ID,2018_1,2018,1,K,201,2.57139107258841,0.0433665298901648,Estimable,543.348133365005,2,Vernal,2018-01-01,2018-07-18,1,1,198,1,1,198
