Loc,ID,Variety,Cutting,DM,Cprot,ADF,aNDF,Ash,Fat,Lignin,dNDF30,IVTDMD30,dNDF48,IVTDMD48,Ca,P,K,Mg,Su_ES,Su_WS,Starc
ID_19,20103,Higest 360 FD3,2,93.67526,25.08054,32.92348,39.35715,10.38138,2.35951,5.60377,16.16259,76.39156,18.25082,81.13915,1.19356,0.42252,2.7956,0.45983,6.17518,6.14297,3.05276
ID_19,20105,Vernal FD2,2,93.78172,23.67532,32.06072,38.51236,10.10263,2.25479,5.66439,16.71711,78.10118,19.50614,80.78622,1.25897,0.40053,2.97526,0.42958,5.34805,5.92407,2.93324
ID_19,20106,Archer FD5,2,94.11788,20.27444,37.83353,45.67062,8.92823,2.08772,6.90402,17.37001,71.68448,20.17292,74.93618,1.11463,0.36203,2.7955,0.33307,4.67345,5.06188,2.94316
ID_19,20117,Legend FD4,2,94.07472,21.76309,36.23412,44.67554,9.27136,2.269,6.65309,17.23415,73.13872,20.75193,76.10251,1.08963,0.38333,2.92296,0.32849,4.18423,4.43684,3.15906
ID_19,20203,Vernal FD2,2,93.76299,25.71595,33.14707,39.97786,10.33788,2.5142,5.39414,18.13951,78.87816,20.86858,83.99004,1.27204,0.46045,2.85222,0.44661,6.96143,7.15296,2.25013
ID_19,20212,144:22277_ 5246 FD3,2,93.70784,21.89934,34.80043,41.86158,9.27782,2.30984,6.47229,16.33376,74.42155,19.15948,76.78629,1.2094,0.37292,2.76493,0.39607,4.84281,4.96843,3.22177
ID_19,20213,Higest 360,2,93.93494,20.45924,36.97104,44.31899,8.72866,2.13048,6.83329,17.09653,73.0226,19.61148,75.35652,1.06475,0.36246,2.7571,0.34755,5.04851,5.12261,3.2762
ID_19,20314,Vernal FD2,2,93.9135,21.52224,34.27014,42.14769,9.57588,2.33298,6.24979,16.84365,74.68657,19.53344,77.54612,1.12345,0.37606,2.79432,0.38834,4.86761,5.562,2.93458
ID_19,20320,Higest 360,2,94.01078,20.72577,35.63692,43.13058,9.08519,2.19241,6.62719,16.80517,73.73389,19.13353,75.9522,1.11986,0.36322,2.74211,0.36251,5.25875,5.58341,3.26212
ID_19,20405,Higest 360,2,94.16004,23.19317,32.07927,38.71015,9.79085,2.37445,5.70754,15.93608,77.68995,18.57903,79.49062,1.17684,0.38583,2.92532,0.38578,5.29638,5.79632,3.30811
ID_19,20411,Vernal FD2,2,93.87727,21.6403,33.87471,41.70116,9.62988,2.35414,6.1125,16.65007,75.10085,19.3406,77.91318,1.13081,0.37474,2.77966,0.38951,4.80528,5.45372,2.99156
ID_19,20419,ABI 700 FD6,2,93.83216,22.31009,34.95871,42.50143,9.32352,2.23114,6.42533,15.60892,73.51665,19.35891,76.55494,1.38011,0.37258,2.71684,0.38238,4.8235,5.1236,3.36681
ID_19,20502,Higest 360,2,93.87476,26.27437,31.73005,37.63816,10.23829,2.52113,5.62685,16.04018,77.14093,19.51112,83.03746,1.15585,0.46105,2.78241,0.44098,6.9789,7.36043,2.10155
ID_19,20504,Vernal FD2,2,94.02897,21.74216,35.03172,41.88559,10.25245,2.10662,6.12471,17.55763,75.00117,20.24715,78.2834,1.27399,0.3908,3.06187,0.39665,4.72212,5.51543,2.92992
ID_19,20615,Vernal FD2,2,93.88439,22.08901,34.32169,40.92298,9.42354,2.31923,6.13084,17.09354,76.33201,19.71786,78.60763,1.16269,0.38195,3.00762,0.37397,4.80493,5.13129,3.05388
ID_19,20616,Higest 360,2,93.85346,23.9318,31.01633,37.28436,10.00233,2.4134,5.50096,14.42114,77.74599,17.26887,79.69772,1.22195,0.37148,2.79445,0.40379,5.17842,5.38531,3.28963
ID_19,20618,Maverick FD1,2,93.95834,23.17402,33.89445,41.5277,9.5629,2.27277,6.13534,16.27977,75.43092,20.01298,78.46006,1.2906,0.38444,2.74482,0.4113,4.72399,5.17,3.00482
ID_19,20714,Higest 360,2,93.72067,26.69177,31.10547,37.31388,10.43269,2.47349,5.35333,15.81227,78.2275,18.0463,82.78191,1.23007,0.44346,2.67505,0.46237,6.81773,6.96215,2.96872
ID_19,20720,Vernal FD2,2,93.92226,23.10555,32.00769,38.68655,10.13936,2.32105,5.56787,16.41534,77.65738,19.06698,80.31413,1.27774,0.3842,2.96018,0.41884,5.4515,6.17362,2.94237
ID_19,20811,Vernal FD2,2,93.96476,21.57374,35.80459,42.76191,9.8674,2.10242,6.40779,18.10772,74.78815,20.23041,77.59312,1.17834,0.38702,2.99513,0.39248,4.91896,5.54909,2.86277
