cut,year,ID,DM,Cprot,ADF,aNDF,Ash,Fat,Lignin,dNDF30,IVTDMD30,dNDF48,IVTDMD48,Ca,P,K,Mg,Su_ESC,Su_WSC,Starch
2,2020,20103,93.8521805,25.6161766,26.6055584,29.4305706,11.2439575,1.9827039,4.835032,14.8709297,81.8657608,15.4222765,85.3135757,1.3425498,0.3828845,2.9307246,0.4127192,6.6520882,9.0937071,2.1576364
2,2020,20106,94.0274124,26.4040527,25.7644691,27.8934631,10.8865185,1.7771926,4.7269363,14.3013697,83.038681,14.7908468,85.5267334,1.336413,0.3863578,2.8853717,0.3885142,7.0236673,9.65133,2.1292226
2,2020,20117,93.9889679,26.0429707,26.5840454,29.1531963,11.076683,1.8456135,4.8739662,14.9630795,82.0393372,15.206934,85.0314255,1.3159059,0.377258,2.8704734,0.4157269,6.7861409,9.1072035,1.9760029
2,2020,20203,93.8672714,26.0375462,25.5193062,28.0070686,11.5990629,1.9496475,4.4467654,15.2406483,83.1068344,15.3254814,85.8083038,1.3812639,0.3791588,2.8353391,0.4447688,6.8062563,9.2682123,2.3639696
2,2020,20212,93.9884338,25.6114368,25.4874573,28.1435204,11.5761662,1.788227,4.7013564,14.5327387,82.4998627,14.8296213,85.5422516,1.4112386,0.3645654,2.7243586,0.4279949,6.7842302,9.5163651,2.4702435
2,2020,20213,93.9646378,26.1717339,25.5795879,28.1918125,11.2332201,2.0230992,4.6364913,14.736577,82.5641785,15.2352371,85.7494125,1.4638638,0.3855342,2.8345921,0.4112712,6.6934443,9.124505,2.1689496
2,2020,20314,93.9492188,25.5189056,26.0719204,29.1171608,10.6315947,1.8620601,4.9572501,14.3472519,81.9794998,15.2557278,85.2926636,1.4344387,0.3590848,2.561022,0.4243163,6.9812837,9.4809837,2.3081322
2,2020,20320,93.9120789,27.4209366,24.6429958,26.8630905,10.823123,1.9140987,4.5652571,14.5235252,84.4458694,14.6173248,86.7232132,1.3725282,0.3908054,2.8263335,0.4345924,7.322597,9.8570061,1.7623134
2,2020,20405,94.0708084,25.0121174,28.0697498,31.2866268,10.3830023,1.8743273,5.1084056,15.6908436,81.9352417,16.4365578,84.7741013,1.3583338,0.3793954,2.8326938,0.4099246,6.7881432,9.3106623,1.819689
2,2020,20411,93.9490967,26.0692902,25.4689083,28.2733536,10.5191174,1.9521595,4.75489,15.1610126,83.1615067,15.4460621,85.9035645,1.4304097,0.3681822,2.6038361,0.4334696,7.1059833,9.5814018,2.1447265
2,2020,20419,93.9746552,24.4924164,25.767849,29.0366726,11.9626961,1.7982966,4.7222009,13.6643038,79.8003464,15.1507063,84.7859268,1.5279678,0.3558561,2.7239189,0.4106592,6.8542495,9.5804195,2.8679206
2,2020,20502,94.1032867,25.7917328,27.0141945,30.3041153,10.8455687,1.8695558,5.0561852,14.8655634,81.6267929,15.8883715,84.2360535,1.3608634,0.3886579,2.9057512,0.4074214,6.5720634,9.0179405,1.6677169
2,2020,20504,93.9029388,26.3276482,24.6106377,27.3135624,10.9334402,1.9537437,4.591413,13.956687,83.4661636,14.6492462,86.5921249,1.4034932,0.3755683,2.7175643,0.4278526,7.1178384,9.5594397,2.4468081
2,2020,20615,93.9344864,27.353754,26.1676979,29.0124416,11.3140678,1.8091928,4.6515126,16.15481,82.9033813,16.3462811,85.8074417,1.4797184,0.3889453,2.8307867,0.4467134,5.9565258,8.702817,1.1574103
2,2020,20616,93.9739838,27.1189098,25.1876183,28.1916676,11.6840744,1.9217072,4.577229,15.158474,82.6521988,15.7894831,86.3372421,1.4357653,0.3855664,2.8730614,0.4265949,6.2561693,8.8002453,1.9536283
2,2020,20714,94.0527954,26.1401062,27.5043011,30.646225,11.251133,1.7913009,4.9534783,16.0551052,81.5593109,16.9587536,84.6402054,1.3597568,0.3940654,3.0035264,0.4026784,5.9440942,8.6307354,1.5016922
2,2020,20816,93.8168182,26.6906013,26.277441,28.7248287,11.8416977,1.7956787,4.9050374,15.0388441,81.4667664,15.608037,85.2064056,1.4301641,0.382943,2.9412866,0.434698,6.0436702,8.5568037,1.8519796
2,2020,20720,93.8717575,26.3614922,27.693779,30.3120766,10.7396812,1.8067392,5.0856042,15.8846035,81.8252106,16.0444031,84.6083908,1.4328294,0.3808268,2.8140757,0.4260399,6.2460108,8.7229185,1.6093432
2,2020,20811,93.8101807,26.1059875,26.4230614,29.6086407,11.5459824,1.7276074,4.8893242,15.54214,81.7260056,16.3242302,85.2534866,1.5028504,0.3665552,2.7731476,0.430937,6.0723691,8.8526316,1.657949
2,2020,20913,94.0416718,24.7890816,28.5090866,32.0094795,11.594183,1.7098114,5.2899113,15.6020155,79.3003998,16.4732227,82.8461838,1.4255766,0.3688425,2.9720426,0.3933464,5.9561548,8.6271658,1.6281792
2,2020,20919,93.8847656,28.2137718,24.592556,26.8978233,11.463418,1.8501137,4.6108475,14.6078634,82.5820847,14.7061329,86.3789215,1.5049291,0.3855245,2.8129382,0.4307349,5.9759479,8.5797644,1.7342852
2,2020,21004,93.9050522,26.0304737,26.9833755,30.1743164,11.3509865,1.7793958,5.1188016,15.9348574,81.6309891,16.2077847,84.4445038,1.549349,0.3669778,2.7370334,0.4238912,6.3546128,8.9441309,1.4534622
2,2020,21013,94.1005402,25.7467041,28.7242737,31.3717098,10.6687899,1.7099835,5.3995042,15.8354874,80.6326599,16.3139,83.8891678,1.4040642,0.3769341,2.8016763,0.4053933,5.8876438,8.3836298,1.5684173
2,2020,21104,93.9043274,26.3318024,26.5863762,29.53969,10.6254663,1.8440384,5.0753241,15.1046057,81.6980972,15.2768564,84.5197754,1.4126112,0.3712478,2.68086,0.4398055,6.6962895,8.9777393,1.8650659
2,2020,21109,94.0274048,24.8829117,29.6270962,32.9167786,10.4152842,1.6892582,5.4115129,16.4321442,80.8814392,17.0613346,83.6136551,1.3701918,0.3774261,2.7497206,0.4082703,6.4641323,9.0976601,1.3499194
3,2020,20105,94.3557358,25.6486168,29.1109886,32.3025665,10.3148518,1.9278338,5.2696562,16.7130985,81.0020294,17.1159554,83.8550034,1.3476647,0.3811182,3.0447335,0.3990086,5.8783202,8.0911379,1.024241
3,2020,20103,94.3063889,25.4831295,28.5326939,31.9569206,10.7898903,1.8691769,5.3254495,15.3023777,80.2391815,16.6325893,83.4492798,1.2231941,0.3874301,3.0842988,0.3792844,5.5612955,7.9199238,1.9578683
3,2020,20106,94.4175491,24.3613682,29.7946968,33.6369591,10.9369497,1.7345752,5.3544345,15.9455204,79.5654526,16.9278698,82.3236313,1.1998663,0.3710153,2.9981334,0.37911,6.282867,8.4895964,2.0001621
3,2020,20117,94.3944168,25.8202648,29.055584,32.6268044,10.7277927,1.7863922,5.5215349,15.4759932,79.5033188,16.3832817,83.2350006,1.310653,0.3788584,2.9503548,0.3975127,5.5398426,7.7219543,1.3383451
3,2020,20203,94.3745651,26.168169,27.8656502,30.8150654,10.2178745,1.8604561,5.2868476,15.9515209,81.9760132,16.4607372,84.3850403,1.3140923,0.3824766,3.0031481,0.3862818,6.0444608,8.3848476,1.2917644
3,2020,20212,94.2309494,24.8443451,27.903389,31.4587631,10.1860418,1.8373266,5.058176,15.8299074,81.8306198,17.2704182,84.7435608,1.2734779,0.3724739,2.8528898,0.3980313,6.3553977,8.752883,2.2619112
3,2020,20213,94.4028168,25.4377747,29.0162983,32.6785927,10.3106642,1.8083205,5.3674846,15.4116297,80.1005859,16.2497692,82.966301,1.2642686,0.3784025,2.9407406,0.3913947,6.2032657,8.2457399,1.7088462
3,2020,20314,94.274086,26.4812641,26.86339,30.0720406,11.1306276,1.8170956,4.9308438,15.8195591,82.3638535,16.6114445,85.5173111,1.3677509,0.3751014,2.9767523,0.404218,5.9853277,8.3634901,1.6245401
3,2020,20320,94.2979507,25.3016758,28.0813217,31.3426437,10.5726128,1.8208863,5.1440077,15.4747086,81.0321503,16.5079918,83.9421844,1.3312299,0.3783079,2.8826585,0.4139339,6.4261212,8.7538481,1.9068633
3,2020,20405,94.4138794,24.0769405,31.7314606,35.522625,9.84793,1.7068621,5.9479365,15.5786953,78.2027359,17.0602627,81.5066299,1.2166451,0.3699391,2.9564753,0.3723918,5.7882838,7.9227319,1.2549617
3,2020,20411,94.3252106,26.7274437,27.2790375,30.5131226,10.8220797,1.7992409,5.0346885,15.9975166,81.3117523,16.7122517,84.2736969,1.3296721,0.3777304,2.9511442,0.4124864,5.7779412,8.1419239,1.4080206
3,2020,20419,94.2472,23.991869,29.3926678,33.6346359,10.7637253,1.7909902,5.3824754,14.9102793,78.8126373,16.4367809,82.6395721,1.4018445,0.3559284,2.87135,0.4094922,6.2597823,8.4124603,2.0862577
3,2020,20502,94.2949524,25.4110794,27.8872242,31.0420666,11.0770388,1.9528357,5.0947351,15.5726509,81.0249481,16.5586472,83.931282,1.2702514,0.3825898,3.2000387,0.4070295,6.1405745,8.2628565,1.5146075
3,2020,20504,94.323143,25.5185413,28.3172493,31.5937271,10.6971827,1.8207724,5.3198848,15.034502,80.7699585,16.3412724,84.0786209,1.2761623,0.3743317,3.0402775,0.3919334,5.8030286,8.0513887,1.7924314
