cut,block,position,gen,loc,year,DM,Cprot,ADF,aNDF,Ash,Fat,Lignin,dNDF30,IVTDMD30,NDFD30,dNDF48,IVTDMD48,NDFD48,Ca,P,K,Mg,Su_ESC,Su_WSC,Starch
1,9,1,1,ID,2020,95.04,22.49,27.92,30.96,12.89,1.94,5.56,15.44,82.32,49.89,16.62,83.73,53.68,1.69,0.33,2.79,0.33,6.76,10.13,0.89
1,5,9,2,ID,2020,94.24,22.81,27.83,30.54,12.74,1.95,5.81,14.61,82.1,47.84,15.62,83.4,51.16,1.64,0.34,2.84,0.3,6.43,9.82,0.94
1,6,1,3,ID,2020,94.02,22.76,29.11,32.33,12.22,1.88,6.05,14.98,81.18,46.34,15.97,82.4,49.39,1.57,0.35,2.85,0.29,6.29,9.66,0.91
1,6,14,4,ID,2020,93.7,24.85,26.55,29.58,10.7,1.89,5.53,14.78,83.36,49.96,15.71,84.27,53.12,1.68,0.36,2.63,0.36,7.04,10.26,0.87
1,9,16,5,ID,2020,94.24,23.2,26.54,29.77,11.88,1.97,5.36,14.81,82.32,49.73,16.06,84.07,53.95,1.8,0.34,2.46,0.36,7.17,10.52,0.86
1,2,4,6,ID,2020,94.77,22.86,27.72,30.77,12.74,1.89,5.77,15.1,82.32,49.08,16.09,83.15,52.3,1.59,0.34,2.78,0.29,6.23,9.8,0.6
1,7,8,7,ID,2020,94.68,24.81,24.74,27.28,11.46,1.91,5.41,15.47,85.66,56.72,15.75,85.79,57.71,1.91,0.32,2.63,0.38,6.98,10.46,NA
1,6,3,8,ID,2020,94.25,24.89,26.1,29.24,12.58,2.13,5.07,15.05,84.24,51.49,16.15,84.22,55.25,1.67,0.39,2.88,0.33,6.62,10.03,0.09
1,5,14,9,ID,2020,94.38,26.26,24.75,27.24,11.4,2.11,4.89,16.29,87.85,59.78,16.57,86.59,60.82,1.62,0.4,3.07,0.37,7.16,10.62,NA
1,6,9,10,ID,2020,94.11,25.14,25.31,27.98,11.73,2.1,5.46,14.8,85.14,52.9,15.79,85.61,56.42,1.72,0.37,2.97,0.34,6.8,10.27,0.39
1,8,13,11,ID,2020,94.92,25.1,24.73,27.44,12.1,2.12,5.22,15.6,86.41,56.87,15.75,85.57,57.39,1.81,0.36,2.9,0.37,7.02,10.54,0.11
1,10,7,12,ID,2020,94.24,27.22,23.03,25.24,11.64,2.03,4.52,15.47,89.58,61.27,15.29,87.68,60.59,1.71,0.39,2.58,0.41,6.51,10.25,NA
1,10,19,13,ID,2020,94.33,24.59,25.19,27.57,12.58,1.99,5.23,15.18,86.4,55.07,15.41,86.2,55.88,1.79,0.35,2.72,0.38,7,10.49,0.22
1,9,9,14,ID,2020,94.78,24.19,26.72,28.96,12.28,2.05,5.31,16.22,85.41,56.02,16.58,84.18,57.26,1.84,0.36,2.88,0.35,6.19,10.03,NA
1,2,2,15,ID,2020,94.83,24.56,27.2,29.77,13.17,1.92,5.44,14.83,83,49.81,15.76,83.39,52.92,1.68,0.36,2.94,0.31,5.51,9.21,0.39
1,1,16,16,ID,2020,94.63,24.47,26.53,29.29,13.84,1.97,5.08,17.18,84.83,58.64,17.53,86.15,59.86,1.77,0.36,3.09,0.35,5.93,9.62,0.1
