Entry_N,Entry,Block,Yi,C,X
1,Sibley,1,4098,1,0
1,Sibley,2,4060,1,0
1,Sibley,3,4283,1,0
1,Sibley,3,3952,1,0
2,Hardin,1,4020,1,0
2,Hardin,2,4414,1,0
2,Hardin,3,3571,1,0
3,Weber,1,4440,1,0
3,Weber,2,3835,1,0
3,Weber,3,4154,1,0
4,Kato,1,3860,1,0
4,Kato,2,3865,1,0
4,Kato,3,3674,1,0
5,T.Egg,1,2169,0,1
6,Harlon,1,3250,0,1
7,Rampage,1,3807,0,1
8,Steele,1,4068,0,1
9,Vinton,1,3871,0,1
10,Vinton81,1,3838,0,1
11,BSR101,2,4244,0,1
12,Norsoy,2,3290,0,1
13,W.Black,2,3019,0,1
14,Mandarin,2,3506,0,1
15,Hark,2,4384,0,1
16,Coles,2,4148,0,1
17,Hodgson78,3,4167,0,1
18,Lakota,3,4023,0,1
19,Man.507,3,2435,0,1
20,Bert,3,4595,0,1
21,Leslie,3,3957,0,1
