Cutting,ID,block,position,gen,Name,loc,year,DM,Cprot,ADF,aNDF,Ash,Fat,Lignin,Ca,P,Mg,K,Starch,Su_ESC,Su_WSC,TTNDFD
1,10101,1,1,123,467915,WA,2018,94.99,22.34,31.87,37.96,10.47,1.78,6.67,1.38,0.3,0.38,2.06,1.52,6.23,6.88,40.45
1,10102,1,2,29,499660,WA,2018,95.04,20.5,31.45,38.62,9.07,2.03,6.5,1.27,0.27,0.32,2.07,2.38,7.11,7.83,39.36
1,10103,1,3,162,AFX457,WA,2018,95.02,19.1,32.97,40.95,8.51,1.96,6.71,1.19,0.25,0.3,2.12,2.2,7.43,7.59,37.48
1,10104,1,4,201,22338_ VernalFD2,WA,2018,95,21.27,33.12,40.34,9.03,1.98,6.79,1.23,0.29,0.33,2.21,1.79,6.37,7.21,38.96
1,10105,1,5,126,467938,WA,2018,95.15,19.96,33.36,40.4,10.38,1.98,6.73,1.34,0.27,0.36,2.07,2.56,5.61,6.97,39.97
1,10106,1,6,191,SW42032,WA,2018,95.04,20.03,31.9,38.88,9.73,2,6.51,1.28,0.26,0.32,2.09,2.86,7.27,7.7,37.49
1,10107,1,7,159,AFX003,WA,2018,95.1,21.76,32.07,37.94,10.47,1.97,6.41,1.35,0.3,0.36,2.25,1.91,6.07,7.15,41.21
1,10108,1,8,139,464740,WA,2018,94.88,20.25,33.54,41.69,8.89,1.81,6.74,1.25,0.29,0.34,2.07,2.2,6.98,7.18,39.83
1,10109,1,9,77,452477,WA,2018,95.44,21.33,32.82,39.57,10.14,1.97,6.7,1.29,0.3,0.34,2.3,1.75,5.64,7.1,41.39
1,10110,1,10,69,204591,WA,2018,95.22,19.57,34.61,42.1,9.42,1.75,7.26,1.23,0.26,0.31,2.32,1.68,6.55,7.05,38.6
1,10111,1,11,121,467922,WA,2018,95.14,20.46,32.78,39,9.95,1.94,6.63,1.32,0.29,0.37,2.13,2.09,6.43,7.28,39.14
1,10112,1,12,84,440503,WA,2018,95.16,20.65,33.53,40.58,9.53,1.82,6.95,1.29,0.27,0.35,2.08,1.98,6.55,7.06,38.57
1,10113,1,13,133,452499,WA,2018,95.14,21.02,32.63,39.25,9.72,2.07,6.62,1.27,0.28,0.33,2.22,2.07,5.85,7.25,40.53
1,10114,1,14,125,452481_Lakak,WA,2018,95.3,19.51,32.63,38.62,9.19,2.19,6.7,1.18,0.27,0.31,2.39,2.51,6.58,7.53,40.59
1,10115,1,15,202, Hi-Gest360,WA,2018,95.12,20.3,33.59,40.49,9.63,1.93,6.67,1.28,0.29,0.35,2.24,1.94,6.1,7.26,39.03
1,10116,1,16,32,467969,WA,2018,95.13,20.51,33.38,40.5,9.47,1.93,6.73,1.24,0.28,0.36,2.14,2.16,6.47,7.23,38.97
1,10117,1,17,37,468011,WA,2018,95.34,19.58,33.83,41.11,9.68,1.99,6.89,1.2,0.28,0.3,2.49,2.01,6.03,7.1,39.31
1,10118,1,18,13,467953,WA,2018,95.23,19.08,32.57,39.96,9.27,2.07,6.47,1.14,0.27,0.29,2.52,2.48,7.12,7.7,40.53
1,10119,1,19,116,467906,WA,2018,95.1,18.96,34.18,42.21,9.07,1.84,6.83,1.25,0.27,0.35,2.11,2.06,6.7,7.19,38.11
1,10120,1,20,164,AFX008,WA,2018,94.95,22.95,29.91,36.43,9.86,2.13,5.88,1.2,0.3,0.34,2.33,2.51,7.09,7.23,41.57
1,10201,2,1,35,468005,WA,2018,94.54,20.33,32.2,39.37,10.15,2.03,6.39,1.22,0.29,0.34,2.37,2.15,6.55,7.04,39.48
1,10202,2,2,146,Dove,WA,2018,94.62,19.55,32.89,40.24,9.85,1.99,6.66,1.2,0.27,0.33,2.35,2.17,6.78,7.15,37.53
1,10203,2,3,43,467979,WA,2018,94.89,21.12,32.25,39.37,9.48,2.03,6.42,1.23,0.29,0.35,2.22,2.19,6.66,7.18,40.32
1,10204,2,4,24,502646,WA,2018,94.62,19.68,33.46,41.39,8.72,1.89,6.79,1.19,0.27,0.32,2.21,2.44,7.12,7.37,37.84
1,10205,2,5,202,Hi-Gest360,WA,2018,94.79,20.69,35.03,42.74,9.33,1.9,7.03,1.19,0.3,0.32,2.47,1.35,5.48,6.81,40.67
1,10206,2,6,104,22287_ArcherFD5,WA,2018,95.14,21.9,32.78,38.05,9.26,2,6.91,1.14,0.3,0.32,2.54,2.2,6.8,7.28,38.73
1,10207,2,7,76,452476,WA,2018,94.9,19.91,32.52,39.53,9.82,2.02,6.33,1.15,0.28,0.33,2.37,2.43,7.1,7.8,39.16
1,10208,2,8,107,22300_Lahontan,WA,2018,94.31,19.92,31,38.43,8.87,1.95,6.2,1.17,0.27,0.35,2.01,3.08,6.97,7.79,36.27
1,10209,2,9,158,AFX002,WA,2018,94.96,22.79,32.7,38.42,10.89,1.95,6.85,1.36,0.3,0.38,2.44,1.24,5.15,6.42,41.72
1,10210,2,10,195,54Q14,WA,2018,95.18,19.96,34.93,42.36,9.36,1.88,7.12,1.16,0.28,0.31,2.43,1.72,6.1,7.12,38.72
1,10211,2,11,78,452475,WA,2018,95.02,21.69,33.45,40.13,9.45,1.99,6.79,1.23,0.29,0.33,2.41,1.63,5.93,7.05,39.4
1,10212,2,12,3,173738,WA,2018,95.03,18.92,34.9,43.22,8.58,1.74,7.31,1.22,0.25,0.35,1.88,2.11,7.27,7.32,36.13
1,10213,2,13,82,440506,WA,2018,94.9,18.07,35.87,44.03,9.52,1.75,7.49,1.21,0.26,0.32,2.25,2,6.35,7.12,37.12
1,10214,2,14,201,22338_ VernalFD2,WA,2018,95.16,20.22,34.39,41.54,9.99,1.9,6.94,1.25,0.29,0.3,2.58,1.63,5.78,6.97,40.67
1,10215,2,15,34,467982,WA,2018,94.58,20.95,29.8,36.79,9.18,2.11,5.84,1.17,0.29,0.31,2.34,2.91,7.08,7.74,38.69
1,10216,2,16,156,Swift,WA,2018,94.67,21.63,31.42,38.58,8.69,1.94,6.28,1.18,0.3,0.34,2.3,2.16,6.48,7.4,39.01
1,10217,2,17,6,170535_Yonca,WA,2018,94.89,18.57,37.02,45.42,9.47,1.7,7.76,1.25,0.26,0.34,2.24,1.43,5.59,6.66,37.43
1,10218,2,18,52,491406,WA,2018,95.17,17.49,34.51,42.65,9.39,1.9,6.88,1.08,0.25,0.27,2.56,2.48,7.29,7.5,37.99
1,10219,2,19,90,346911,WA,2018,94.8,19.63,30.71,37.88,9.52,2.2,6.02,1.16,0.27,0.28,2.64,2.91,7.46,7.63,41.79
1,10220,2,20,140,464793,WA,2018,95.07,19.24,34.66,42.41,9.03,1.75,7.25,1.2,0.26,0.34,2.3,2.11,6.89,7.11,37.78
1,10301,3,1,91,405068_Mandan1271,WA,2018,95.18,21.2,33.19,39.88,10.08,2,6.84,1.23,0.28,0.33,2.53,1.85,5.74,7.18,40.63
1,10302,3,2,201,22338_ VernalFD2,WA,2018,95.39,19.21,36.83,43.73,10.15,1.7,7.71,1.25,0.26,0.29,2.68,1.2,5.2,6.33,38.22
1,10303,3,3,40,468056,WA,2018,95.12,19.31,34.07,41.5,9.46,1.9,6.91,1.19,0.27,0.29,2.68,1.83,6.17,6.97,40.9
1,10304,3,4,177,LS302,WA,2018,95.06,20.84,32.28,38.72,9.69,1.95,6.62,1.2,0.28,0.34,2.51,2.04,7.04,7.11,40.48
1,10305,3,5,119,467925,WA,2018,95.16,18.49,36.46,44.34,9.97,1.73,7.56,1.23,0.27,0.33,2.42,1.76,5.52,6.6,38.92
1,10306,3,6,189,55Q27,WA,2018,95.15,18.76,35.02,42.27,9.82,1.71,7.48,1.2,0.24,0.3,2.42,1.8,6.73,6.74,35.75
1,10307,3,7,145,26659_5269,WA,2018,94.82,21.29,30.58,37.86,10.03,1.97,6.05,1.18,0.29,0.31,2.54,2.33,6.68,7.47,43.86
1,10308,3,8,186,SW5512Y,WA,2018,95.09,20.4,33.1,40.39,9.38,1.86,6.71,1.17,0.28,0.32,2.38,2.08,6.93,7.26,40.46
1,10309,3,9,114,ApolloII,WA,2018,95.08,19.58,36.09,43.82,9.37,1.75,7.6,1.26,0.27,0.32,2.33,1.18,5.13,6.51,36.65
1,10310,3,10,50,467966,WA,2018,95.27,19.32,35.71,43.62,9.26,1.77,7.4,1.15,0.27,0.27,2.74,1.35,5.78,6.69,39.91
1,10311,3,11,111,Agate,WA,2018,95.07,19.14,35.01,42.46,9.83,1.86,7.06,1.13,0.26,0.31,2.4,2.05,6.23,6.69,37.45
1,10312,3,12,202, Hi-Gest360,WA,2018,95.12,19.92,34.18,41.05,8.77,1.93,7.08,1.18,0.28,0.32,2.3,2.32,6.62,7,39.09
1,10313,3,13,66,206574,WA,2018,95.23,19.16,35.98,42.72,10.97,1.73,7.51,1.34,0.27,0.38,2.22,1.96,5.16,6.29,38.1
1,10314,3,14,12,499543,WA,2018,95.2,17.72,32.94,41.03,9.49,2,6.54,1.03,0.25,0.23,2.86,2.56,7.32,7.61,39.9
1,10315,3,15,197,5472,WA,2018,95.01,17.82,33.35,41.87,9.08,1.85,6.78,1.13,0.25,0.28,2.35,2.62,6.28,7.16,38.7
1,10316,3,16,185,54VQ52,WA,2018,94.94,19.02,33.94,41.96,9.3,1.81,6.94,1.22,0.26,0.31,2.2,2.32,6.41,7.06,35.94
1,10317,3,17,26,502472,WA,2018,95.22,18.11,37.72,45.78,9.34,1.64,8.09,1.25,0.25,0.32,2.33,1.48,5.56,6.45,36.22
1,10318,3,18,182,5432,WA,2018,95.34,21.34,34.68,41.35,9.47,1.77,7.29,1.26,0.28,0.33,2.35,1.16,5.43,6.95,37.49
1,10319,3,19,33,467978,WA,2018,94.94,19.26,31.56,39.49,9.21,2.16,5.96,1.13,0.28,0.29,2.56,2.77,7.39,7.5,44.11
1,10320,3,20,36,468010,WA,2018,94.89,21.05,30.8,37.96,9.66,2.07,6.09,1.2,0.29,0.33,2.35,2.38,7,7.48,43.15
1,10401,4,1,149,KingBird,WA,2018,95.28,19.99,36.83,44.43,10.11,1.76,7.83,1.25,0.28,0.3,2.54,1.09,4.87,6.08,39.78
1,10402,4,2,115,467908,WA,2018,95.08,18.11,34.38,41.91,9.82,1.79,7.22,1.15,0.24,0.26,2.6,2.15,6.31,7.02,38.97
1,10403,4,3,136,467895,WA,2018,94.93,18.61,35.08,42.68,10.12,1.74,7.12,1.22,0.27,0.31,2.37,1.88,6.38,6.67,40.34
1,10404,4,4,22,502484,WA,2018,94.52,17,31.91,40.86,8.85,1.94,6.38,1.14,0.23,0.29,2.17,3.17,6.71,7.44,37.99
1,10405,4,5,53,494658,WA,2018,94.84,20.89,33.85,41.07,9.36,1.93,7.11,1.27,0.28,0.29,2.44,1.12,5.52,6.86,38.61
1,10406,4,6,165,AFX009,WA,2018,94.92,20.21,33.31,40.77,9.59,1.87,6.76,1.16,0.29,0.26,2.93,1.42,6.76,6.85,42.57
1,10407,4,7,202,Hi-Gest360,WA,2018,94.72,23.29,30.02,36.5,9.93,2.01,6.06,1.25,0.32,0.32,2.48,1.75,7.12,7.3,43.82
1,10408,4,8,56,340114,WA,2018,94.6,21.21,30.25,37.74,9.39,1.82,6.25,1.23,0.29,0.34,2.15,2.78,7.22,8,41.19
1,10409,4,9,73,177012,WA,2018,94.71,18.41,35.59,44.04,8.75,1.69,7.61,1.22,0.25,0.32,2.07,1.82,6.52,6.88,36.11
1,10410,4,10,131,464739_Guron,WA,2018,94.95,19.78,34.59,42.01,9.49,1.78,7.41,1.18,0.26,0.27,2.63,1.67,6.62,6.67,39.63
1,10411,4,11,89,346902,WA,2018,94.71,19.4,33.51,40.54,10.15,1.82,6.91,1.24,0.27,0.32,2.24,2.29,6.18,6.74,39
1,10412,4,12,94,467901,WA,2018,94.76,19.12,33.41,40.87,9.07,1.85,6.91,1.24,0.26,0.33,2.12,2.34,6.27,7.1,38.1
1,10413,4,13,201,22338_ VernalFD2,WA,2018,95.06,19.67,36.12,43.77,9.36,1.76,7.53,1.21,0.28,0.27,2.53,1.39,5.27,6.45,39.46
