trait,Var1,gen,FD,loc,cv,max,mean,median,min,sd.amo,se,ci
ADF,Maverick,112,1,ID,9.4893,32.9048,29.8244,29.9618,26.4692,2.8301,1.4151,4.5034
ADF,Maverick,112,1,OR,6.379,30.8423,29.6777,30.4975,26.8734,1.8931,0.9466,3.0124
ADF,Maverick,112,1,WA,5.5926,30.2893,28.0048,27.3769,26.976,1.5662,0.7831,2.4922
ADF,Vernal,201,2,ID,5.8322,32.3584,30.8736,31.298,28.5399,1.8006,0.9003,2.8651
ADF,Vernal,201,2,OR,3.949,31.7596,30.7395,31.1072,28.9838,1.2139,0.6069,1.9316
ADF,Vernal,201,2,WA,7.3474,31.5764,28.4805,27.5759,27.194,2.0926,1.0463,3.3298
ADF,22277_5246,144,3,ID,6.6306,32.6205,30.4039,30.1867,28.6217,2.016,1.008,3.2079
ADF,22277_5246,144,3,OR,1.6572,31.1876,30.5993,30.6198,29.9698,0.5071,0.2536,0.8069
ADF,22277_5246,144,3,WA,7.6896,31.7967,28.7692,28.085,27.1101,2.2122,1.1061,3.5202
ADF,Higest_360,202,3,ID,6.7614,31.5729,29.5058,29.3498,27.7507,1.995,0.9975,3.1745
ADF,Higest_360,202,3,OR,2.4509,30.6584,30.0251,30.2046,29.0327,0.7359,0.3679,1.171
ADF,Higest_360,202,3,WA,6.3717,30.8282,28.3073,27.7026,26.9958,1.8036,0.9018,2.87
ADF,Legend,44,4,ID,8.2959,34.0025,30.7945,30.2544,28.6668,2.5547,1.2773,4.0651
ADF,Legend,44,4,OR,4.4526,32.9032,31.0933,30.9251,29.6196,1.3844,0.6922,2.203
ADF,Legend,44,4,WA,6.7236,30.9459,28.7426,28.457,27.1104,1.9325,0.9663,3.0751
ADF,Archer,104,5,ID,8.9191,34.3542,30.7356,30.0948,28.3985,2.7413,1.3707,4.3621
ADF,Archer,104,5,OR,3.1381,31.0471,30.3318,30.6457,28.9887,0.9518,0.4759,1.5146
ADF,Archer,104,5,WA,5.7455,30.446,28.5363,28.2695,27.1603,1.6396,0.8198,2.6089
ADF,ABI700,61,6,ID,7.7152,33.411,30.5914,30.1653,28.6239,2.3602,1.1801,3.7556
ADF,ABI700,61,6,OR,3.5591,31.2533,30.2169,30.4504,28.7133,1.0754,0.5377,1.7113
ADF,ABI700,61,6,WA,7.5285,31.7393,28.6443,27.8391,27.1597,2.1565,1.0782,3.4315
Ash,Maverick,112,1,ID,12.8802,10.8778,9.5974,9.6472,8.2174,1.2362,0.6181,1.967
Ash,Maverick,112,1,OR,5.9607,10.2564,9.7223,9.7339,9.1649,0.5795,0.2898,0.9221
Ash,Maverick,112,1,WA,6.1245,10.1318,9.4933,9.4797,8.8821,0.5814,0.2907,0.9252
Ash,Vernal,201,2,ID,11.5794,10.8815,9.7133,9.79,8.3916,1.1247,0.5624,1.7897
Ash,Vernal,201,2,OR,4.9254,10.19,9.6616,9.6095,9.2375,0.4759,0.2379,0.7572
Ash,Vernal,201,2,WA,4.2811,10.1344,9.7026,9.7679,9.1399,0.4154,0.2077,0.661
Ash,22277_5246,144,3,ID,13.4091,10.8805,9.5519,9.5974,8.1325,1.2808,0.6404,2.0381
Ash,22277_5246,144,3,OR,5.2734,10.166,9.5254,9.4485,9.0384,0.5023,0.2512,0.7993
Ash,22277_5246,144,3,WA,5.2365,10.1086,9.5313,9.4677,9.0811,0.4991,0.2496,0.7942
Ash,Higest_360,202,3,ID,12.4123,10.7549,9.5165,9.4588,8.3936,1.1812,0.5906,1.8796
Ash,Higest_360,202,3,OR,5.1336,10.1281,9.5885,9.5835,9.059,0.4922,0.2461,0.7833
Ash,Higest_360,202,3,WA,3.8871,10.0777,9.6868,9.7466,9.1762,0.3765,0.1883,0.5992
Ash,Legend,44,4,ID,13.9799,10.9222,9.5528,9.6346,8.0197,1.3355,0.6677,2.125
Ash,Legend,44,4,OR,6.3702,10.2446,9.6858,9.7091,9.0805,0.617,0.3085,0.9818
Ash,Legend,44,4,WA,6.4056,10.1311,9.4615,9.4396,8.836,0.6061,0.303,0.9644
Ash,Archer,104,5,ID,13.8768,10.9102,9.5664,9.6857,7.9841,1.3275,0.6638,2.1124
Ash,Archer,104,5,OR,5.5332,10.1866,9.6118,9.5855,9.0896,0.5318,0.2659,0.8463
Ash,Archer,104,5,WA,4.4925,10.1284,9.6746,9.7412,9.0877,0.4346,0.2173,0.6916
Ash,ABI700,61,6,ID,13.5669,10.9047,9.5633,9.6236,8.1013,1.2974,0.6487,2.0645
Ash,ABI700,61,6,OR,5.5227,10.1789,9.5313,9.4732,8.9998,0.5264,0.2632,0.8376
Ash,ABI700,61,6,WA,4.6368,10.1205,9.6166,9.6346,9.0767,0.4459,0.223,0.7095
Ca,Maverick,112,1,ID,8.7833,1.4424,1.3318,1.3543,1.1761,0.117,0.0585,0.1861
Ca,Maverick,112,1,OR,1.9421,1.3135,1.2775,1.2698,1.2569,0.0248,0.0124,0.0395
Ca,Maverick,112,1,WA,2.0161,1.319,1.2939,1.2997,1.2574,0.0261,0.013,0.0415
Ca,Vernal,201,2,ID,10.7129,1.4529,1.3094,1.333,1.1189,0.1403,0.0701,0.2232
Ca,Vernal,201,2,OR,2.5079,1.3113,1.2682,1.2634,1.2348,0.0318,0.0159,0.0506
Ca,Vernal,201,2,WA,2.5061,1.3221,1.2759,1.2659,1.2498,0.032,0.016,0.0509
Ca,22277_5246,144,3,ID,9.9266,1.4457,1.318,1.3426,1.1408,0.1308,0.0654,0.2082
Ca,22277_5246,144,3,OR,2.5878,1.309,1.266,1.2627,1.2295,0.0328,0.0164,0.0521
Ca,22277_5246,144,3,WA,4.1443,1.2531,1.2158,1.2329,1.1445,0.0504,0.0252,0.0802
Ca,Higest_360,202,3,ID,11.004,1.4422,1.3062,1.3379,1.1067,0.1437,0.0719,0.2287
Ca,Higest_360,202,3,OR,1.7653,1.3101,1.2765,1.2664,1.2629,0.0225,0.0113,0.0359
Ca,Higest_360,202,3,WA,1.9989,1.2988,1.2751,1.2744,1.2527,0.0255,0.0127,0.0406
Ca,Legend,44,4,ID,13.365,1.4391,1.2926,1.3425,1.0462,0.1727,0.0864,0.2749
Ca,Legend,44,4,OR,2.1923,1.3092,1.2706,1.2652,1.2429,0.0279,0.0139,0.0443
Ca,Legend,44,4,WA,4.9141,1.2623,1.2248,1.251,1.1349,0.0602,0.0301,0.0958
Ca,Archer,104,5,ID,12.6884,1.4425,1.2909,1.3307,1.0598,0.1638,0.0819,0.2606
Ca,Archer,104,5,OR,1.8506,1.3106,1.2756,1.2659,1.2599,0.0236,0.0118,0.0376
Ca,Archer,104,5,WA,3.0139,1.317,1.2678,1.2639,1.2265,0.0382,0.0191,0.0608
Ca,ABI700,61,6,ID,6.5091,1.4484,1.3476,1.3486,1.2446,0.0877,0.0439,0.1396
Ca,ABI700,61,6,OR,1.6914,1.316,1.2885,1.2847,1.2686,0.0218,0.0109,0.0347
Ca,ABI700,61,6,WA,2.5026,1.3286,1.2994,1.3052,1.2584,0.0325,0.0163,0.0517
Cprot,Maverick,112,1,ID,8.7617,25.2058,22.3298,21.5924,20.9285,1.9565,0.9782,3.1132
Cprot,Maverick,112,1,OR,1.8139,21.8346,21.516,21.6318,20.9659,0.3903,0.1951,0.621
Cprot,Maverick,112,1,WA,4.0492,24.7337,23.5616,23.5016,22.5096,0.9541,0.477,1.5181
Cprot,Vernal,201,2,ID,11.2262,25.3286,21.8668,21.2735,19.5915,2.4548,1.2274,3.9061
Cprot,Vernal,201,2,OR,1.5502,21.1996,20.8981,20.9056,20.5816,0.324,0.162,0.5155
Cprot,Vernal,201,2,WA,4.0887,25.2179,24.3812,24.6382,23.0304,0.9969,0.4984,1.5862
Cprot,22277_5246,144,3,ID,9.4054,25.1827,22.1332,21.3784,20.5932,2.0817,1.0409,3.3125
Cprot,22277_5246,144,3,OR,1.9999,21.5837,21.095,21.0324,20.7315,0.4219,0.2109,0.6713
Cprot,22277_5246,144,3,WA,3.1416,24.2438,23.4286,23.4234,22.6239,0.736,0.368,1.1712
Cprot,Higest_360,202,3,ID,8.3028,25.2295,22.5279,21.9806,20.9211,1.8704,0.9352,2.9763
Cprot,Higest_360,202,3,OR,3.096,21.9132,21.3231,21.4694,20.4403,0.6602,0.3301,1.0505
Cprot,Higest_360,202,3,WA,3.7644,25.3395,24.3551,24.3993,23.2824,0.9168,0.4584,1.4589
Cprot,Legend,44,4,ID,9.5206,25.2205,22.1462,21.4094,20.5455,2.1084,1.0542,3.355
Cprot,Legend,44,4,OR,2.0912,21.5297,21.0834,21.094,20.6158,0.4409,0.2204,0.7016
Cprot,Legend,44,4,WA,5.8253,25.0829,23.4392,23.4313,21.8115,1.3654,0.6827,2.1727
Cprot,Archer,104,5,ID,9.1354,25.2217,22.2534,21.5111,20.7696,2.0329,1.0165,3.2349
Cprot,Archer,104,5,OR,1.7971,21.7997,21.3489,21.3094,20.9771,0.3837,0.1918,0.6105
Cprot,Archer,104,5,WA,5.072,25.5735,24.4136,24.457,23.1668,1.2382,0.6191,1.9703
Cprot,ABI700,61,6,ID,8.8087,25.2155,22.3186,21.55,20.9587,1.966,0.983,3.1283
Cprot,ABI700,61,6,OR,2.4762,21.7681,21.1956,21.2018,20.6105,0.5248,0.2624,0.8351
Cprot,ABI700,61,6,WA,4.4983,25.6187,24.4798,24.5816,23.1371,1.1012,0.5506,1.7522
DM,Maverick,112,1,ID,1.1443,95.5071,94.4121,94.5685,93.0043,1.0804,0.5402,1.7191
