trait,variable,cv,max,mean,median,min,sd.amo,se,ci
ADF,ID_2018_1,0.7552,29.2681,28.9231,28.9625,28.5876,0.2184,0.0826,0.202
ADF,ID_2018_2,0.6956,28.9971,28.685,28.7204,28.3796,0.1995,0.0754,0.1845
ADF,ID_2018_3,7.3336,21.0596,19.6194,19.769,16.6075,1.4388,0.5438,1.3307
ADF,ID_2019_1,2.6836,30.372,28.8412,28.771,27.7507,0.774,0.2925,0.7158
ADF,ID_2019_2,2.9252,34.3542,33.032,32.9048,31.5729,0.9663,0.3652,0.8936
ADF,ID_2019_3,1.3625,32.2241,31.5202,31.6025,30.8561,0.4295,0.1623,0.3972
ADF,ID_2019_4,2.8421,28.6668,28.1662,28.5399,26.4692,0.8005,0.3026,0.7404
ADF,OR_2018_1,1.855,33.1276,32.2148,32.3052,31.1401,0.5976,0.2259,0.5527
ADF,OR_2018_2,1.2982,31.8899,31.2265,31.3039,30.5996,0.4054,0.1532,0.3749
ADF,OR_2018_3,2.051,23.401,22.9107,22.9753,21.9498,0.4699,0.1776,0.4346
ADF,OR_2019_1,1.2728,31.7596,31.112,31.1876,30.4996,0.396,0.1497,0.3662
ADF,OR_2019_2,2.7109,32.9032,31.1017,30.8037,30.3369,0.8431,0.3187,0.7798
ADF,OR_2019_3,1.1196,30.9908,30.4366,30.501,29.9096,0.3408,0.1288,0.3152
ADF,OR_2019_4,3.4142,29.9698,28.883,28.9887,26.8734,0.9861,0.3727,0.912
ADF,WA_2018_1,1.8114,34.7328,33.7241,33.8429,32.7813,0.6109,0.2309,0.565
ADF,WA_2018_2,1.7822,34.5597,33.5721,33.6883,32.6486,0.5983,0.2261,0.5534
ADF,WA_2018_3,2.8135,29.5051,27.9737,27.847,26.8284,0.787,0.2975,0.7279
ADF,WA_2019_1,1.9927,31.7967,31.0888,30.9459,30.2893,0.6195,0.2342,0.573
ADF,WA_2019_2,0.3142,27.2153,27.1197,27.1299,26.9941,0.0852,0.0322,0.0788
ADF,WA_2019_3,0.3104,27.194,27.1009,27.1104,26.976,0.0841,0.0318,0.0778
ADF,WA_2019_4,2.5964,29.7841,28.6821,28.4994,27.7598,0.7447,0.2815,0.6887
ADF,WA_2019_5,0.5214,28.211,27.9944,28.0184,27.7763,0.1459,0.0552,0.135
aNDF,ID_2018_1,0.3129,30.6914,30.5327,30.5447,30.3828,0.0955,0.0361,0.0884
aNDF,ID_2018_2,0.9,33.374,32.9228,32.9426,32.4749,0.2963,0.112,0.274
aNDF,ID_2018_3,10.4215,25.9347,23.0519,23.4009,18.1198,2.4023,0.908,2.2218
aNDF,ID_2019_1,1.8558,33.0565,31.844,31.755,31.1185,0.591,0.2234,0.5466
aNDF,ID_2019_2,3.9333,40.6093,38.7166,38.7077,36.4474,1.5228,0.5756,1.4084
aNDF,ID_2019_3,1.7844,38.202,37.2244,37.2802,36.2401,0.6642,0.251,0.6143
aNDF,ID_2019_4,3.5012,34.9027,34.0845,34.6281,31.5808,1.1934,0.451,1.1037
aNDF,OR_2018_1,1.7955,38.2682,37.2832,37.3395,36.2908,0.6694,0.253,0.6191
aNDF,OR_2018_2,1.5195,36.6269,35.821,35.8651,35.0108,0.5443,0.2057,0.5034
aNDF,OR_2018_3,1.8038,28.073,27.6698,27.7882,26.5763,0.4991,0.1886,0.4616
aNDF,OR_2019_1,1.3866,35.8864,35.1612,35.1998,34.4342,0.4876,0.1843,0.4509
aNDF,OR_2019_2,2.1278,36.8565,35.3836,35.0995,34.6372,0.7529,0.2846,0.6963
aNDF,OR_2019_3,1.3223,35.5354,34.8485,34.8844,34.1605,0.4608,0.1742,0.4262
aNDF,OR_2019_4,4.9733,36.6632,35.0557,35.4235,31.2995,1.7434,0.659,1.6124
aNDF,WA_2018_1,2.1836,40.8145,39.552,39.6273,38.2775,0.8637,0.3264,0.7988
aNDF,WA_2018_2,2.195,40.894,39.6229,39.6987,38.3395,0.8697,0.3287,0.8044
aNDF,WA_2018_3,3.1862,37.0814,34.8458,34.6782,33.3657,1.1102,0.4196,1.0268
aNDF,WA_2019_1,1.218,34.9791,34.3529,34.3847,33.7267,0.4184,0.1581,0.387
aNDF,WA_2019_2,0.3849,31.0098,30.8164,30.8186,30.6311,0.1186,0.0448,0.1097
aNDF,WA_2019_3,0.318,30.7138,30.5527,30.5637,30.4003,0.0971,0.0367,0.0898
aNDF,WA_2019_4,1.7665,34.6345,33.6651,33.6544,33.0248,0.5947,0.2248,0.55
aNDF,WA_2019_5,0.7984,32.8874,32.4893,32.5055,32.0954,0.2594,0.098,0.2399
Ash,ID_2018_1,0.2318,10.2193,10.2034,10.2151,10.1532,0.0237,0.0089,0.0219
Ash,ID_2018_2,2.5622,9.6863,9.3648,9.4082,9.0612,0.2399,0.0907,0.2219
Ash,ID_2018_3,1.284,9.8025,9.601,9.5991,9.4281,0.1233,0.0466,0.114
Ash,ID_2019_1,1.9659,9.2104,8.9106,8.8892,8.6268,0.1752,0.0662,0.162
Ash,ID_2019_2,2.0235,8.3936,8.1772,8.1325,7.9841,0.1655,0.0625,0.153
Ash,ID_2019_3,0.295,10.3801,10.3572,10.3673,10.2909,0.0306,0.0115,0.0283
Ash,ID_2019_4,0.5153,10.9222,10.876,10.8815,10.7549,0.056,0.0212,0.0518
Ash,OR_2018_1,0.1598,10.0091,9.9919,9.9972,9.9641,0.016,0.006,0.0148
Ash,OR_2018_2,3.9411,9.829,9.3089,9.4054,8.755,0.3669,0.1387,0.3393
Ash,OR_2018_3,0.3334,10.4747,10.4477,10.4589,10.3718,0.0348,0.0132,0.0322
Ash,OR_2019_1,0.3565,9.3048,9.2549,9.2361,9.2255,0.033,0.0125,0.0305
Ash,OR_2019_2,2.3213,10.2564,9.9465,9.9349,9.6694,0.2309,0.0873,0.2135
Ash,OR_2019_3,0.2209,10.19,10.1753,10.1866,10.1281,0.0225,0.0085,0.0208
Ash,OR_2019_4,0.886,9.2375,9.0957,9.0805,8.9998,0.0806,0.0305,0.0745
Ash,WA_2018_1,0.1417,9.8025,9.7827,9.7797,9.7657,0.0139,0.0052,0.0128
Ash,WA_2018_2,0.4918,9.78,9.7393,9.7535,9.6658,0.0479,0.0181,0.0443
Ash,WA_2018_3,0.2039,9.5868,9.564,9.5553,9.5428,0.0195,0.0074,0.018
Ash,WA_2019_1,0.4382,9.1762,9.1112,9.0877,9.0767,0.0399,0.0151,0.0369
Ash,WA_2019_2,0.1998,10.1344,10.1189,10.1284,10.0777,0.0202,0.0076,0.0187
Ash,WA_2019_3,0.1398,9.8227,9.8031,9.8011,9.7866,0.0137,0.0052,0.0127
Ash,WA_2019_4,4.1467,9.7131,9.3477,9.4759,8.836,0.3876,0.1465,0.3585
Ash,WA_2019_5,0.682,8.8265,8.7202,8.6839,8.6695,0.0595,0.0225,0.055
Ca,ID_2018_1,0.809,1.3569,1.3448,1.346,1.3239,0.0109,0.0041,0.0101
Ca,ID_2018_2,0.239,1.2757,1.2709,1.27,1.2675,0.003,0.0011,0.0028
Ca,ID_2018_3,1.1513,2.0813,2.0368,2.0286,2.0147,0.0234,0.0089,0.0217
Ca,ID_2019_1,0.1926,1.3147,1.3101,1.3093,1.3077,0.0025,0.001,0.0023
Ca,ID_2019_2,6.053,1.2446,1.1276,1.1189,1.0462,0.0683,0.0258,0.0631
Ca,ID_2019_3,0.3221,1.4529,1.4447,1.4425,1.4391,0.0047,0.0018,0.0043
Ca,ID_2019_4,1.1304,1.3965,1.3727,1.377,1.352,0.0155,0.0059,0.0144
Ca,OR_2018_1,0.2547,1.2669,1.262,1.2612,1.2584,0.0032,0.0012,0.003
Ca,OR_2018_2,0.1871,1.3369,1.3325,1.3315,1.3297,0.0025,9e-04,0.0023
Ca,OR_2018_3,1.7597,1.6123,1.5673,1.5582,1.5335,0.0276,0.0104,0.0255
Ca,OR_2019_1,0.2426,1.2736,1.2687,1.2679,1.2653,0.0031,0.0012,0.0028
Ca,OR_2019_2,0.1919,1.316,1.3114,1.3106,1.309,0.0025,0.001,0.0023
Ca,OR_2019_3,1.7807,1.2958,1.255,1.2569,1.2295,0.0223,0.0084,0.0207
Ca,OR_2019_4,0.2515,1.2686,1.2637,1.2629,1.2602,0.0032,0.0012,0.0029
Ca,WA_2018_1,3.7912,1.2846,1.2086,1.2138,1.1397,0.0458,0.0173,0.0424
Ca,WA_2018_2,12.3236,1.3975,1.2101,1.2044,0.9231,0.1491,0.0564,0.1379
Ca,WA_2018_3,0.4919,1.5579,1.5437,1.5404,1.5354,0.0076,0.0029,0.007
Ca,WA_2019_1,1.4028,1.3023,1.2782,1.2745,1.2531,0.0179,0.0068,0.0166
Ca,WA_2019_2,0.2712,1.2584,1.2534,1.2527,1.2496,0.0034,0.0013,0.0031
Ca,WA_2019_3,4.6359,1.3286,1.2514,1.2534,1.1445,0.058,0.0219,0.0537
Ca,WA_2019_4,5.703,1.3221,1.2757,1.317,1.1349,0.0728,0.0275,0.0673
Ca,WA_2019_5,1.728,1.4173,1.3799,1.3797,1.341,0.0238,0.009,0.0221
Cprot,ID_2018_1,1.023,26.1031,25.5333,25.4522,25.3518,0.2612,0.0987,0.2416
Cprot,ID_2018_2,0.1933,24.2155,24.1339,24.1332,24.0605,0.0467,0.0176,0.0431
Cprot,ID_2018_3,3.6694,24.8419,23.1318,23.0376,22.0338,0.8488,0.3208,0.785
Cprot,ID_2019_1,2.3321,20.9587,20.6154,20.7696,19.5915,0.4808,0.1817,0.4446
Cprot,ID_2019_2,1.4701,21.8905,21.2388,21.1342,20.9468,0.3122,0.118,0.2888
Cprot,ID_2019_3,0.7038,22.0707,21.817,21.8437,21.6003,0.1536,0.058,0.142
Cprot,ID_2019_4,0.1838,25.3286,25.2292,25.2205,25.1827,0.0464,0.0175,0.0429
Cprot,OR_2018_1,2.0045,23.8413,22.8385,22.6594,22.529,0.4578,0.173,0.4234
Cprot,OR_2018_2,0.6296,22.3357,22.1032,22.1265,21.9131,0.1392,0.0526,0.1287
Cprot,OR_2018_3,0.1757,25.2498,25.1571,25.1473,25.1089,0.0442,0.0167,0.0409
Cprot,OR_2019_1,1.1613,21.9132,21.6421,21.7458,21.1542,0.2513,0.095,0.2324
Cprot,OR_2019_2,0.9621,21.2076,20.8847,20.9224,20.5816,0.2009,0.0759,0.1858
Cprot,OR_2019_3,0.8024,21.7312,21.4503,21.4813,21.1996,0.1721,0.0651,0.1592
Cprot,OR_2019_4,2.2766,21.8346,20.8573,20.6569,20.4403,0.4748,0.1795,0.4392
Cprot,WA_2018_1,2.4668,21.9045,21.1826,21.2573,20.4873,0.5225,0.1975,0.4833
Cprot,WA_2018_2,1.0069,21.066,20.7317,20.7712,20.4145,0.2087,0.0789,0.1931
Cprot,WA_2018_3,0.9341,21.2972,20.9815,21.018,20.6874,0.196,0.0741,0.1813
Cprot,WA_2019_1,0.385,23.2824,23.1259,23.1371,23.0277,0.089,0.0336,0.0823
Cprot,WA_2019_2,3.2873,25.6187,24.8032,25.2179,23.7789,0.8154,0.3082,0.7541
Cprot,WA_2019_3,2.0136,25.3778,24.8557,25.041,23.8191,0.5005,0.1892,0.4629
Cprot,WA_2019_4,4.0176,24.2354,23.249,23.5361,21.8115,0.9341,0.353,0.8639
Cprot,WA_2019_5,0.7154,22.0302,21.7733,21.8005,21.5525,0.1558,0.0589,0.1441
DM,ID_2018_1,0.0059,93.0409,93.035,93.0367,93.0244,0.0055,0.0021,0.0051
DM,ID_2018_2,0.0037,93.582,93.5792,93.581,93.5722,0.0035,0.0013,0.0032
DM,ID_2018_3,0.0446,93.8323,93.7542,93.7559,93.694,0.0418,0.0158,0.0386
DM,ID_2019_1,0.0063,93.0043,92.9981,92.9998,92.9869,0.0058,0.0022,0.0054
DM,ID_2019_2,0.0215,94.218,94.1987,94.1999,94.1584,0.0202,0.0076,0.0187
DM,ID_2019_3,0.0259,95.5486,95.5194,95.5245,95.4714,0.0248,0.0094,0.0229
DM,ID_2019_4,0.1736,95.4432,95.2654,95.2849,94.9371,0.1654,0.0625,0.153
DM,OR_2018_1,0.0107,94.2519,94.2432,94.2452,94.2222,0.0101,0.0038,0.0093
DM,OR_2018_2,0.024,95.3885,95.3618,95.3665,95.3172,0.0229,0.0087,0.0212
DM,OR_2018_3,0.0297,95.867,95.8328,95.8387,95.7782,0.0284,0.0107,0.0263
DM,OR_2019_1,0.0105,94.2333,94.2249,94.2269,94.2042,0.0098,0.0037,0.0091
DM,OR_2019_2,0.0185,96.1805,96.1517,96.1533,96.1341,0.0177,0.0067,0.0164
DM,OR_2019_3,0.0508,97.7063,97.6432,97.6532,97.5503,0.0496,0.0188,0.0459
DM,OR_2019_4,0.1275,98.8303,98.5818,98.5629,98.4339,0.1257,0.0475,0.1163
DM,WA_2018_1,0.057,92.9305,92.8432,92.832,92.7742,0.0529,0.02,0.0489
DM,WA_2018_2,0.0078,93.9974,93.9919,93.9938,93.9762,0.0073,0.0028,0.0067
DM,WA_2018_3,0.1352,93.5074,93.2866,93.2994,93.1121,0.1261,0.0477,0.1166
DM,WA_2019_1,0.0073,93.9599,93.9547,93.9566,93.9398,0.0069,0.0026,0.0064
DM,WA_2019_2,0.071,94.6533,94.5376,94.5209,94.4674,0.0671,0.0254,0.0621
DM,WA_2019_3,0.0086,94.0758,94.0697,94.0716,94.0523,0.0081,0.0031,0.0075
DM,WA_2019_4,0.0049,93.7302,93.7268,93.7276,93.7166,0.0046,0.0017,0.0043
DM,WA_2019_5,0.0033,93.509,93.5064,93.5081,93.5009,0.0031,0.0012,0.0029
dNDF30,ID_2018_2,1.0303,14.79,14.5934,14.6099,14.3353,0.1504,0.0568,0.1391
dNDF30,ID_2018_3,1.8123,9.9783,9.743,9.7104,9.5424,0.1766,0.0667,0.1633
dNDF30,ID_2019_2,1.5573,15.6219,15.3112,15.3533,14.9178,0.2384,0.0901,0.2205
dNDF30,ID_2019_3,1.5495,16.4411,16.1376,16.1696,15.7226,0.25,0.0945,0.2313
dNDF30,ID_2019_4,5.0023,14.9526,14.301,14.4189,12.8364,0.7154,0.2704,0.6616
dNDF30,OR_2018_2,1.6524,15.1169,14.7959,14.8423,14.3213,0.2445,0.0924,0.2261
dNDF30,OR_2018_3,1.088,12.9576,12.7896,12.8491,12.5233,0.1391,0.0526,0.1287
dNDF30,OR_2019_2,2.7117,15.075,14.3855,14.3385,13.9547,0.3901,0.1474,0.3608
dNDF30,OR_2019_3,3.0497,14.8078,13.9024,13.7227,13.5932,0.424,0.1603,0.3921
dNDF30,OR_2019_4,1.1588,12.4273,12.2144,12.2188,12.0112,0.1415,0.0535,0.1309
dNDF30,WA_2018_2,1.2284,15.3858,15.1506,15.1727,14.8359,0.1861,0.0703,0.1721
dNDF30,WA_2018_3,0.8446,14.2613,14.099,14.1104,13.8911,0.1191,0.045,0.1101
dNDF30,WA_2019_2,0.4898,13.2858,13.1867,13.1889,13.0714,0.0646,0.0244,0.0597
dNDF30,WA_2019_3,0.2951,12.5247,12.4749,12.4777,12.4245,0.0368,0.0139,0.034
dNDF30,WA_2019_4,0.3374,12.1481,12.0869,12.0834,12.0151,0.0408,0.0154,0.0377
dNDF30,WA_2019_5,0.3566,12.0889,12.023,12.0259,11.9477,0.0429,0.0162,0.0397
dNDF48,ID_2018_2,0.9111,16.8919,16.6607,16.671,16.3796,0.1518,0.0574,0.1404
dNDF48,ID_2018_3,11.3129,11.2368,10.3378,10.8301,7.9545,1.1695,0.442,1.0816
dNDF48,ID_2019_2,3.9053,18.4227,17.6279,17.6499,16.6815,0.6884,0.2602,0.6367
dNDF48,ID_2019_3,1.3919,17.8993,17.5232,17.4284,17.1875,0.2439,0.0922,0.2256
dNDF48,ID_2019_4,3.6981,15.7275,15.2161,15.3619,14.0611,0.5627,0.2127,0.5204
dNDF48,OR_2018_2,1.4114,17.934,17.5484,17.451,17.211,0.2477,0.0936,0.2291
dNDF48,OR_2018_3,2.4725,15.0321,14.7637,14.9504,14.053,0.365,0.138,0.3376
dNDF48,OR_2019_2,2.8631,17.8576,17.0479,16.8298,16.6206,0.4881,0.1845,0.4514
dNDF48,OR_2019_3,2.0577,17.3216,16.5881,16.4857,16.2712,0.3413,0.129,0.3157
dNDF48,OR_2019_4,1.5953,16.1524,15.7599,15.7419,15.3628,0.2514,0.095,0.2325
dNDF48,WA_2018_2,2.9866,20.0897,19.0903,18.9144,18.431,0.5702,0.2155,0.5273
dNDF48,WA_2018_3,1.9872,17.1043,16.843,16.9219,16.1028,0.3347,0.1265,0.3095
dNDF48,WA_2019_2,0.9104,16.8881,16.6567,16.6676,16.3758,0.1516,0.0573,0.1402
dNDF48,WA_2019_3,0.519,16.4595,16.3227,16.3313,16.1809,0.0847,0.032,0.0783
dNDF48,WA_2019_4,1.2329,16.0909,15.8252,15.9008,15.5492,0.1951,0.0737,0.1804
dNDF48,WA_2019_5,1.7757,15.5779,15.2901,15.4203,14.8086,0.2715,0.1026,0.2511
Fat,ID_2018_1,1.2369,2.0212,1.9953,2.0077,1.9579,0.0247,0.0093,0.0228
Fat,ID_2018_2,4.8056,2.1914,2.0515,2.0584,1.8975,0.0986,0.0373,0.0912
Fat,ID_2018_3,10.6489,2.5596,2.2466,2.2321,2.0147,0.2392,0.0904,0.2213
Fat,ID_2019_1,0.4211,2.0336,2.0159,2.0145,2.0078,0.0085,0.0032,0.0079
Fat,ID_2019_2,1.3766,2.5879,2.5167,2.5146,2.4779,0.0346,0.0131,0.032
Fat,ID_2019_3,5.5695,2.0364,1.8495,1.8175,1.7195,0.103,0.0389,0.0953
