trait,term,Estimate,Std. Error,df,t value,lower,upper,Pr(>|t|)
ADF,FD1,28.7924563144819,1.39327632992421,5.82267707810581,20.665287779667,25.3579058768036,32.2270067521602,1.13550520456081e-06
ADF,FD2,30.4647810492347,1.39327632992417,5.82267734307399,21.8655699482764,27.0302306507986,33.8993314476707,8.20363192556887e-07
ADF,FD3,29.3736044322825,1.3806673754077,5.63163023023263,21.2749319318194,25.9409364032603,32.8062724613047,1.34860107038795e-06
ADF,FD4,29.6194710044238,1.39327632992417,5.82267732611642,21.2588632766308,26.1849206034763,33.0540214053713,9.64707412819596e-07
ADF,FD5,30.8048154260201,1.39327632992417,5.82267732304586,22.1096237439824,27.3702650246178,34.2393658274223,7.69536303335203e-07
ADF,FD6,30.138620561842,1.39327632992416,5.82267729634636,21.6314738968418,26.7040701564855,33.5731709671985,8.72843988504194e-07
ADF,locID,28.2391506275402,1.71709571273553,7.78371467412871,16.445880342076,24.2602873319951,32.2180139230853,2.52523320289813e-07
ADF,locOR,30.9201246533713,1.59115170256383,6.79873014511748,19.4325434862996,27.1349509190426,34.7052983877,3.27959021092359e-07
ADF,locWA,30.437599113231,1.59893058612685,6.60523350261624,19.0362229463388,26.6104356930899,34.264762533372,5.11168427784207e-07
ADF,FD1:locID,27.5379707921478,1.91784772355088,11.9464443979004,14.3587889976799,23.3572609917538,31.7186805925418,6.75629255516964e-09
ADF,FD2:locID,28.7174773462283,1.91784772355085,11.9464450747755,14.9738047466347,24.5367675722346,32.8981871202219,4.19519334467945e-09
ADF,FD3:locID,27.1530480493576,1.88898154726863,11.2779413862327,14.3744379550025,23.007894738484,31.2982013602311,1.33070815189346e-08
ADF,FD4:locID,28.0821759598944,1.91784772355086,11.946445036544,14.6425472758081,23.9014661844096,32.2628857353792,5.41062848677315e-09
ADF,FD5:locID,29.574128544831,1.91784772355086,11.9464449768378,15.4204779564433,25.3934187670175,33.7548383226445,3.00065391746281e-09
ADF,FD6:locID,28.3701030727821,1.91784772355085,11.9464450142611,14.7926776064658,24.1893932964282,32.550812849136,4.81828452313353e-09
ADF,FD1:locOR,28.8349366560575,1.7710007998582,10.3038513093348,16.2817185957038,24.9046173478976,32.7652559642173,1.09707666722473e-08
ADF,FD2:locOR,31.9321708334761,1.77100079985814,10.3038515028497,18.0305795661041,28.0018515349956,35.8624901319566,3.96213965610268e-09
ADF,FD3:locOR,30.964404534158,1.7472673628439,9.79563363777142,17.7216178775064,27.0602124595683,34.8685966087477,9.11105082918308e-09
ADF,FD4:locOR,30.3697611786143,1.77100079985814,10.3038514834503,17.1483610741717,26.4394418791635,34.3000804780652,6.54280616149759e-09
ADF,FD5:locOR,32.136753302091,1.77100079985814,10.3038514793024,18.1460975650972,28.2064340024327,36.0670726017493,3.7166647842291e-09
ADF,FD6:locOR,31.2827214158311,1.77100079985814,10.3038514635288,17.663866339494,27.3524021153838,35.2130407162783,4.86667112930587e-09
ADF,FD1:locWA,30.0044614952404,1.77961514541362,10.0140644881829,16.8600843685598,26.0399865961889,33.968936394292,1.11176347346994e-08
ADF,FD2:locWA,30.7446949679996,1.77961514541355,10.0140646812514,17.276035803154,26.7802200792926,34.7091698567066,8.77508195325997e-09
ADF,FD3:locWA,30.003360713332,1.75540022633486,9.51631170923074,17.0920342057702,26.0649700678397,33.9417513588244,1.84023254663767e-08
ADF,FD4:locWA,30.4064758747626,1.77961514541354,10.0140646590598,17.0859839854289,26.4420009848666,34.3709507646586,9.77039225151487e-09
ADF,FD5:locWA,30.7035644311383,1.77961514541354,10.0140646610179,17.2529237629091,26.7390895413472,34.6680393209293,8.88995835166604e-09
ADF,FD6:locWA,30.7630371969128,1.77961514541354,10.014064648509,17.2863426545879,26.7985623064516,34.7275120873741,8.72437888003407e-09
aNDF,FD1,33.8050011720396,1.75728420822384,5.43502684944959,19.2370710519317,29.3943729700481,38.2156293740311,3.2973569018756e-06
aNDF,FD2,35.7867352164732,1.75728420822353,5.43502711303929,20.3647964563744,31.3761070727372,40.1973633602093,2.42823695246248e-06
aNDF,FD3,34.3744131775041,1.74551754270371,5.30129526954151,19.6929634544147,29.9630460632613,38.7857802917468,3.66817401548092e-06
aNDF,FD4,34.6993495204458,1.75728420822353,5.43502717132111,19.746008845959,30.2887213895903,39.1099776513012,2.86604727285232e-06
aNDF,FD5,35.8383462349177,1.75728420822352,5.43502711617388,20.39416621808,31.4277180918745,40.2489743779609,2.40950275050406e-06
aNDF,FD6,35.3778226200532,1.75728420822353,5.43502718607775,20.1321006895164,30.9671944924591,39.7884507476474,2.58291333608742e-06
aNDF,locID,32.666716912212,2.35658580910385,7.01331767344789,13.8618830623589,27.0964213149369,38.237012509487,2.36263470861754e-06
aNDF,locOR,36.4771369825225,2.13356486245584,6.13814531241899,17.0968024569619,31.2848413386966,41.6694326263484,2.07366827043424e-06
aNDF,locWA,35.7969800759823,2.13183327280862,6.01307992248028,16.7916415099484,30.5833212759573,41.0106388760072,2.7931749831876e-06
aNDF,FD1:locID,32.1559221153435,2.56761902204337,9.80842405089054,12.5236344797575,26.4197277854909,37.892116445196,2.35937639441927e-07
aNDF,FD2:locID,33.1915751116209,2.56761902204258,9.80843060841542,12.9269859845549,27.4553813128789,38.9277689103629,1.75723307247277e-07
aNDF,FD3:locID,31.4337409588152,2.54165099745936,9.42992911867215,12.3674497365045,25.7238388460036,37.1436430716267,3.85487583330992e-07
aNDF,FD4:locID,32.4593126614708,2.56761902204255,9.80843060768277,12.6417947455652,26.7231188626695,38.1955064602721,2.16236919475522e-07
aNDF,FD5:locID,34.0074591647472,2.56761902204255,9.80843021086038,13.2447449846723,28.2712653338064,39.743652995688,1.4012669284821e-07
aNDF,FD6:locID,32.7522914612744,2.56761902204256,9.80843091426472,12.7558999914324,27.0160976873038,38.488485235245,1.98913318585073e-07
aNDF,FD1:locOR,33.8043491887071,2.32617802145195,8.60787798926633,14.532141941401,28.5054005070817,39.1032978703326,2.35935808973386e-07
aNDF,FD2:locOR,37.7681274689569,2.32617802145178,8.60787821758121,16.2361294452372,32.4691788098549,43.067076128059,9.36580893408751e-08
aNDF,FD3:locOR,36.3073046115258,2.30447453980393,8.30522936034678,15.7551337558344,31.0269805668999,41.5876286561516,1.77199421671932e-07
aNDF,FD4:locOR,35.7990031081479,2.32617802145178,8.60787820936366,15.3896231406251,30.5000544482352,41.0979517680606,1.46444777904009e-07
aNDF,FD5:locOR,37.8779760334694,2.32617802145178,8.60787821826503,16.2833522130131,32.5790273744348,43.1769246925039,9.14109672774229e-08
aNDF,FD6:locOR,37.306061484328,2.32617802145178,8.60787824073353,16.037492032121,32.0071128275099,42.605010141146,1.03807561456903e-07
aNDF,FD1:locWA,35.4547322120681,2.32646195622677,8.46464368843517,15.2397644488334,30.1407312265813,40.7687331975548,1.89784116978063e-07
aNDF,FD2:locWA,36.4005030688419,2.32646195622664,8.46464386180382,15.6462919891804,31.0865021011295,41.7145040365542,1.52927168004258e-07
aNDF,FD3:locWA,35.3821939621713,2.30433750512217,8.16293417128854,15.3546057743374,30.0867876931906,40.6776002311519,2.61107577658147e-07
aNDF,FD4:locWA,35.8397327917186,2.32646195622664,8.4646439007706,15.4052520376684,30.5257318280012,41.153733755436,1.73702571303105e-07
