trait,term,Estimate,Std. Error,df,t value,lower,upper,Pr(>|t|)
ADF,FD1,29.475188342343,1.34991969715324,4.29670390684221,21.8347716567891,25.8271072029268,33.1232694817591,1.44393680562741e-05
ADF,FD2,30.8443645123378,1.34991969715324,4.29670388220118,22.8490365592735,27.1962833653637,34.4924456593119,1.18967807510553e-05
ADF,FD3,29.7417997592109,1.33388646014852,4.11020161992417,22.2970999764848,26.0771709121655,33.4064286062563,1.91720537931029e-05
ADF,FD4,30.0995768062568,1.34991969715324,4.2967038827704,22.2973091434489,26.4514956594573,33.7476579530563,1.32044355332377e-05
ADF,FD5,31.0999441756237,1.34991969715324,4.29670388297896,23.0383660903744,27.4518630288882,34.7480253223592,1.1485129843197e-05
ADF,FD6,30.2271529709916,1.34991969715324,4.29670388479135,22.3918156278005,26.579071824812,33.8752341171712,1.29683309543586e-05
ADF,locID,28.1023494538043,1.41130226922141,4.73393297790122,19.9123533396627,24.4122861956506,31.792412711958,9.53749641398151e-06
ADF,locOR,31.1897432581566,1.38493807703078,4.58579660683016,22.5206771157779,27.5307200767086,34.8487664396047,7.14537088724511e-06
ADF,locWA,31.4519205714209,1.38777073596252,4.38413225810329,22.663628621342,27.7284113326439,35.1754298101979,1.03447272156076e-05
ADF,year2018,29.4746576040905,1.71887249055586,5.62201436176321,17.147669629967,25.1992216230254,33.7500935851557,4.53858122591454e-06
ADF,year2019,30.9547506600182,1.35129149555605,5.50080631105472,22.9075301382552,27.5741434535415,34.3353578664948,1.13970051423868e-06
ADF,year2020,30.3146050192732,2.93061300330203,5.38287856801555,10.3441174201836,22.9395756722641,37.6896343662823,9.38098161168098e-05
ADF,FD1:locID,27.6106195467323,1.53993814510279,6.69106213674563,17.9296938870809,23.9348829454811,31.2863561479835,6.61480951716127e-07
ADF,FD2:locID,28.5791056782119,1.53993814510279,6.69106206757744,18.5586062460349,24.9033690688467,32.2548422875772,5.27332112054542e-07
ADF,FD3:locID,27.0487954948927,1.49737840904745,6.00569973192049,18.0641014532189,23.3856852588469,30.7119057309384,1.83523204222527e-06
ADF,FD4:locID,28.0031384729311,1.53993814510279,6.69106206617335,18.1845865445861,24.3274018634011,31.6788750824611,6.02875687078388e-07
ADF,FD5:locID,29.3644755421165,1.53993814510279,6.69106207184944,19.0686071615925,25.6887389332524,33.0402121509806,4.41164489383745e-07
