trait,term,Estimate,Std. Error,df,t value,lower,upper,Pr(>|t|)
ADF,FD1,29.4613302827824,1.54589274706485,4.90964820094533,19.0578100186574,25.4653894780454,33.4572710875195,8.58815286870675e-06
ADF,FD2,31.0002724292052,1.54589274706486,4.90964819549328,20.0533138460378,27.004331623104,34.9962132353064,6.70672778361302e-06
ADF,FD3,29.8199910202195,1.4984254411821,4.33524004639703,19.9008840884966,25.7835515272042,33.8564305132348,1.99455009225768e-05
ADF,FD4,29.8010194864863,1.54589274706487,4.90964819518787,19.2775466105708,25.8050786803086,33.796960292664,8.12328320224251e-06
ADF,FD5,30.7919111554678,1.54589274706486,4.90964819570617,19.9185300622772,26.7959703494198,34.7878519615158,6.93012365931976e-06
ADF,FD6,30.1963898508382,1.54589274706487,4.90964819531136,19.5333019759431,26.2004490446914,34.192330656985,7.61971510009958e-06
ADF,locID,27.9261579150159,1.49946826594927,4.34676313642187,18.6240406343889,23.8907327321788,31.9615830978529,2.59686550898046e-05
ADF,locOR,31.0130307335068,1.4920061815753,4.26180707874822,20.7861275083742,26.9690134394747,35.0570480275389,1.90440761117923e-05
ADF,locWA,31.5962684639771,1.49443166736018,4.28841762734711,21.1426652379429,27.5548312731356,35.6377056548185,1.68325572707002e-05
ADF,year2018,31.159734792005,1.48829183540565,4.21652449883231,20.9365757781718,27.1099283011244,35.2095412828855,2.01614096528715e-05
ADF,year2019,30.5351594003899,1.46499348230069,3.96267519082477,20.8432049488959,26.4525313146605,34.6177874861192,3.36902053482164e-05
ADF,year2020,28.8405629201049,1.58626079684376,5.41882933533758,18.1814761970352,24.8559451598774,32.8251806803324,4.58397165465347e-06
ADF,FD1:locID,27.5434559784622,1.7414868603285,7.86156217001846,15.8160573047715,23.5152374016113,31.5716745553131,3.06333577340818e-07
ADF,FD2:locID,28.6349817754327,1.74148686032853,7.86156214081944,16.4428353883937,24.6067631959254,32.6632003549399,2.27512206457915e-07
ADF,FD3:locID,27.0590912841448,1.6030810244018,5.67172219537175,16.8794283459516,23.0807955635366,31.0373870047531,4.58265030553481e-06
ADF,FD4:locID,27.6051214867963,1.74148686032853,7.86156214071356,15.8514669938931,23.5769029072794,31.6333400663132,3.01139652353225e-07
ADF,FD5:locID,28.9437964701296,1.74148686032853,7.8615621408558,16.6201635679694,24.9155778906256,32.9720150496335,2.09556756423285e-07
ADF,FD6:locID,27.7705004951296,1.74148686032853,7.86156214033929,15.9464312523671,23.7422819155787,31.7987190746806,2.87691973427535e-07
ADF,FD1:locOR,29.4907842245001,1.71340357519192,7.3775357791103,17.2118143393023,25.4808822632855,33.5006861857147,3.17882867889655e-07
ADF,FD2:locOR,31.9242862603586,1.71340357519192,7.377535780038,18.6320880396102,27.9143842992403,35.934188221477,1.79198123930896e-07
ADF,FD3:locOR,30.8721021815708,1.58648370509233,5.44325442547628,19.4594511639022,26.8918067176516,34.8523976454899,3.05656208170388e-06
ADF,FD4:locOR,30.8060679578334,1.71340357519192,7.37753578103444,17.9794581987976,26.7961659968184,34.8159699188484,2.31938874554751e-07
ADF,FD5:locOR,32.2207242411667,1.71340357519192,7.3775357807183,18.8050992233734,28.210822280119,36.2306262022145,1.67596549315844e-07
ADF,FD6:locOR,30.7642195356112,1.71340357519192,7.37753578152724,17.9550340509621,26.7543175746473,34.774121496575,2.34229735836901e-07
