trait,factor,Df,Sum.of.Sq,Wald.statistic,Pr.Chisq.
ADF,(Intercept),1,14767.7976082727,14767.7976082727,0
ADF,FD,5,3.53780089975942,3.53780089975942,0.617675749996898
ADF,loc,2,4.33412134408366,4.33412134408366,0.114513716083286
ADF,FD:loc,10,2.04921865008316,2.04921865008316,0.995948819012885
ADF,cut,4,40.8260301220546,40.8260301220546,2.92023648595929e-08
ADF,FD:cut,20,12.5280006129958,12.5280006129958,0.896705474769565
ADF,loc:cut,6,27.6491833055895,27.6491833055895,0.000109386386657251
ADF,FD:loc:cut,30,7.69848205695078,7.69848205695078,0.999987130364059
ADF,residual (MS),NA,1,NA,NA
aNDF,(Intercept),1,8993.39474274541,8993.39474274541,0
aNDF,FD,5,2.43725852428338,2.43725852428338,0.785912982681978
aNDF,loc,2,4.34521131497115,4.34521131497115,0.113880496413878
aNDF,FD:loc,10,1.8429780294486,1.8429780294486,0.997408069028585
aNDF,cut,4,45.8707164900453,45.8707164900453,2.6202360281502e-09
aNDF,FD:cut,20,13.3752949035316,13.3752949035316,0.860707455966997
aNDF,loc:cut,6,29.8728936012929,29.8728936012929,4.15569089643464e-05
aNDF,FD:loc:cut,30,5.96349756732283,5.96349756732283,0.999999377832166
aNDF,residual (MS),NA,1,NA,NA
Ash,(Intercept),1,33209.3763831572,33209.3763831572,0
Ash,FD,5,1.97028578728231,1.97028578728231,0.853241105985774
Ash,loc,2,224.814401554107,224.814401554107,0
Ash,FD:loc,10,11.6897046668814,11.6897046668814,0.306360043108715
Ash,cut,4,16.2812922856161,16.2812922856161,0.0026640305307466
Ash,FD:cut,20,13.6606408424706,13.6606408424706,0.847277026525203
Ash,loc:cut,6,36.618337534878,36.618337534878,2.0897265163855e-06
Ash,FD:loc:cut,30,13.2309995945223,13.2309995945223,0.996532586997195
Ash,residual (MS),NA,1,NA,NA
Ca,(Intercept),1,19366.671118069,19366.671118069,0
Ca,FD,5,22.114300401765,22.114300401765,0.000498038675161849
Ca,loc,2,37.4721577997895,37.4721577997895,7.29498361717873e-09
