trait,Trial,Component.Var,std.error,z.ratio
ADF,ID:ID,18.2925997223133,10.4259264966456,1.75452989508401
ADF,OR:OR,19.2741578434014,10.3978560611987,1.85366653759769
ADF,WA:WA,10.0531105995731,4.21158385362496,2.38701423240576
ADF,OR:ID,12.2168884747858,8.35130192995317,1.46287232544762
ADF,WA:ID,4.68247795835483,3.69109570788379,1.2685875222237
ADF,WA:OR,9.0619024070273,5.44064732772872,1.66559268799551
ADF,year,6.01861786549827,5.60240118622433,1.07429255161115
ADF,cut:cor,0.637284377296524,0.186969168725391,3.40849981652606
aNDF,ID:ID,145.089839580682,267.730181495933,0.541925601252714
aNDF,OR:OR,192.842104081732,150.043633258238,1.28524016577121
aNDF,WA:WA,106.492508458198,73.1754900035967,1.45530297717123
aNDF,OR:ID,119.577999915024,101.540133977823,1.17764272342935
aNDF,WA:ID,70.9363675408901,17.4125572252646,4.0738627085725
aNDF,WA:OR,119.993979611222,47.2397686829028,2.5401051477767
aNDF,year,16.281919019938,13.696966013473,1.18872449591554
aNDF,cut:cor,0.955129143262793,0.17443110397759,5.47568135202252
Ash,ID:ID,1.14204326710541,0.329731985188122,3.46355015105326
Ash,OR:OR,0.307918918527981,0.101135903185764,3.04460541537267
Ash,WA:WA,0.228313222041997,0.0827170693046974,2.76017059067917
Ash,OR:ID,-0.200217751551393,0.126064609006245,-1.58821538518773
Ash,WA:ID,0.310767693256597,0.137125729912631,2.26629745894225
Ash,WA:OR,0.128701262985237,0.070101062658655,1.83593883037018
Ash,year,0.111514206304022,0.110636491021694,1.00793332538137
Ash,cut:cor,0.359721146386001,0.175137545084368,2.05393507264656
Ca,ID:ID,0.0106342197989781,0.00341049846586123,3.1180837362707
Ca,OR:OR,0.00786888995570867,0.00231556704216938,3.39825615601117
Ca,WA:WA,0.022034211308646,0.00564758226790148,3.90152994032144
Ca,OR:ID,-0.00307012686428401,0.00243171174070282,-1.26253733651699
Ca,WA:ID,0.00704558605883644,0.00386961706357353,1.82074503577105
Ca,WA:OR,0.00678501693874303,0.0027784738744049,2.4419941469474
Ca,year,0.0146641068826608,0.0124241260005928,1.18029283363363
Ca,cut:cor,0.0184163212435825,0.166587237496631,0.110550613122178
Cprot,ID:ID,6.71211534594505,2.41322799054511,2.78138467324377
Cprot,OR:OR,2.35923448074398,0.747372897946192,3.15670328323016
Cprot,WA:WA,2.47465648001328,0.944206534015,2.62088472263629
Cprot,OR:ID,2.69516052399618,1.11769887232717,2.41134762745584
Cprot,WA:ID,-1.3127443164078,0.923600587995878,-1.42133334849464
Cprot,WA:OR,-0.712014687877163,0.515076890318848,-1.38234640547823
Cprot,year,0.343091272919457,0.393117767781954,0.872744253853608
Cprot,cut:cor,0.536104048133011,0.140181198341743,3.82436485402317
DM,ID:ID,0.277877996244948,0.0699543555269573,3.97227583831954
DM,OR:OR,0.794002423700054,0.168980917788715,4.6987697432963
DM,WA:WA,0.765822191197504,0.176422876975102,4.34083268750673
DM,OR:ID,0.24942878861258,0.0817804852446535,3.04997931800468
DM,WA:ID,0.11283773195085,0.0761881951812238,1.48103957158258
DM,WA:OR,-0.459826625931732,0.127678132424828,-3.60145169105179
DM,year,0.0418006045416639,0.0492473511148951,0.848788891084563
DM,cut:cor,0.308352462102809,0.165253435740704,1.86593676991164
dNDF30,ID:ID,3.18081412394541,0.189556520783016,16.780293871222
dNDF30,OR:OR,2.45017594780121,0.0874053897870025,28.0323210476153
dNDF30,WA:WA,1.15181735861395,0.0972198315220813,11.8475555921154
dNDF30,OR:ID,2.18764184276272,0.0987855203694288,22.1453694284505
dNDF30,WA:ID,-1.47895877944203,0.0926798803723301,-15.9577113554797
dNDF30,WA:OR,-0.365368775248851,0.0614463182051884,-5.94614593552653
dNDF30,year,0.642397214102585,0.558769088313887,1.14966491085083
dNDF30,cut:cor,0.00413331251410082,NA,NA
dNDF48,ID:ID,-4.80264987878481,2.59076500414006,-1.85375743114877
dNDF48,OR:OR,-1.47001994935702,0.933561632948592,-1.57463620769639
dNDF48,WA:WA,0.0368164830929645,0.349101731194163,0.105460614494885
dNDF48,OR:ID,-2.67963901257722,1.48837597485418,-1.80037776600079
dNDF48,WA:ID,0.428512640019603,0.749891663866099,0.571432729109679
dNDF48,WA:OR,0.248534069476251,0.42452569819418,0.585439398682929
dNDF48,year,1.27117846342279,1.10320974260127,1.15225456623095
dNDF48,cut:cor,-0.159799602327019,0.190157132163219,-0.840355554951556
Fat,ID:ID,0.0221788379043129,0.00639699698201068,3.46707024666154
Fat,OR:OR,0.0147781106163455,0.00484197184464072,3.05208520216872
Fat,WA:WA,0.0202730683764036,0.0059659796726911,3.39811221100909
Fat,OR:ID,-0.0120004699270069,0.00450865905275639,-2.66164945865009
Fat,WA:ID,0.00438565001134442,0.00546270746463164,0.802834499145225
Fat,WA:OR,0.00460220024024627,0.00390202914442704,1.17943768995658
Fat,year,0.00816941391330966,0.00742956976527083,1.09958102170292
Fat,cut:cor,-0.0326822584294459,0.164882265188161,-0.198215729218357
IVTDMD30,ID:ID,46.7705661161656,14.2910313573571,3.27272153748988
IVTDMD30,OR:OR,9.48412884497833,3.12139505889479,3.03842630171152
IVTDMD30,WA:WA,3.19321746319862,1.56094720485665,2.04569216259423
IVTDMD30,OR:ID,19.2286199030605,6.28510810713769,3.05939366122016
IVTDMD30,WA:ID,3.41561091332146,3.6361995282066,0.939335393128459
IVTDMD30,WA:OR,0.997519140349626,1.63258820462344,0.611004745424893
IVTDMD30,year,12.4381067824481,9.58253848850643,1.29799705969005
IVTDMD30,cut:cor,0.220169046548621,0.234825977014444,0.937583862517384
IVTDMD48,ID:ID,36.876275586964,13.8529603639243,2.66197799013392
IVTDMD48,OR:OR,7.49856943431404,3.09422274521487,2.42340970633429
IVTDMD48,WA:WA,3.95625823226415,1.77212086035942,2.23249910362307
IVTDMD48,OR:ID,14.8325983490799,6.19083224216573,2.39589731539729
IVTDMD48,WA:ID,3.50809202658052,3.16098564603045,1.10980954025715
IVTDMD48,WA:OR,0.788248671657437,1.52512264039293,0.51684281039481
IVTDMD48,year,8.13208335681451,6.41149295330412,1.2683603360468
IVTDMD48,cut:cor,0.393584698773998,0.230371613619904,1.7084774143371
K,ID:ID,0.0469174479836736,0.0146060593793748,3.21219069189365
K,OR:OR,0.0217115357324823,0.00802460225874661,2.70562141678951
K,WA:WA,0.0450129821668378,0.0127835481903818,3.52116497677108
K,OR:ID,-0.00797460413936138,0.00762913962859728,-1.04528223726161
K,WA:ID,-0.00326685850101422,0.0110553279703996,-0.295500821844559
K,WA:OR,0.00437749357727363,0.00782796995794879,0.559211851960236
K,year,0.0355098925383985,0.0309897366419845,1.14585977120858
K,cut:cor,0.277798979984851,0.16843632079698,1.64928192844872
Lignin,ID:ID,11.1514696946701,5.0989851374204,2.18699788176118
Lignin,OR:OR,10.8828208673181,4.9936921683854,2.17931352201008
Lignin,WA:WA,8.05534325953657,3.17258545752458,2.53904689641419
Lignin,OR:ID,7.56110529368662,2.79490455659768,2.70531788852604
Lignin,WA:ID,7.35500432126578,2.33110016243923,3.15516443256115
Lignin,WA:OR,7.73586913434593,2.8789637903961,2.68703245249278
Lignin,year,1.07201776179941,0.534373017343333,2.00612255298558
Lignin,cut:cor,0.97948405755645,NA,NA
Mg,ID:ID,0.00149285992040856,0.00046535878774154,3.20797621047116
Mg,OR:OR,0.000536101831580066,0.000186728722439444,2.87101965126936
Mg,WA:WA,0.000960318340282543,0.00025601024876424,3.75109334457505
Mg,OR:ID,0.000794184218262044,0.00026771332626916,2.96654719931113
Mg,WA:ID,0.000598420388508141,0.000250087816810053,2.39284102736862
Mg,WA:OR,5.46345023563155e-05,0.000155962729475802,0.350304861552144
Mg,year,8.52599202105184e-05,0.000106519431024679,0.800416594327891
Mg,cut:cor,0.116697630063499,0.171187810236911,0.681693573286546
P,ID:ID,0.000644481483219136,0.000187773431250083,3.43222935709575
P,OR:OR,0.000289282123743001,8.98624071461235e-05,3.21916731289654
P,WA:WA,0.000296340140345467,9.19977347403329e-05,3.22116779485819
P,OR:ID,3.00490878355158e-06,9.57316808965224e-05,0.0313888647458267
P,WA:ID,-0.000117262061529496,0.00011282793438616,-1.03929990535996
P,WA:OR,-0.000105818725481865,6.13909993950298e-05,-1.72368468545297
P,year,3.83106337914117e-05,4.33121280796342e-05,0.88452439282072
P,cut:cor,0.0161402595707043,0.165699430225678,0.0974068501546546
Starch,ID:ID,0.732219077263367,0.220705732712998,3.31762600029756
Starch,OR:OR,1.57859725090623,0.416424295194839,3.79083850083154
Starch,WA:WA,2.70015431327924,0.761469096993885,3.54598016378979
Starch,OR:ID,0.652360167430086,0.222327859803313,2.93422591306015
Starch,WA:ID,1.34689776986414,0.395263760744784,3.40759235637039
Starch,WA:OR,1.04840949037656,0.411789665000612,2.54598300900778
Starch,year,0.570069684481973,0.537949994964158,1.05970757471604
Starch,cut:cor,0.209361368848565,0.179438327023391,1.16675947843224
Su_ESC,ID:ID,0.29293472627839,0.118692749336593,2.46800860133145
Su_ESC,OR:OR,0.807529439747386,0.238881586803497,3.38045912434287
Su_ESC,WA:WA,1.46368552809305,0.359941958147674,4.06644875642017
Su_ESC,OR:ID,0.216754263105637,0.118938723489132,1.82240280328418
Su_ESC,WA:ID,-0.200309252461673,0.15785031065234,-1.26898231390147
Su_ESC,WA:OR,0.729553827528993,0.243084358711053,3.00123723055415
Su_ESC,year,0.731808760852453,0.645140091612015,1.13434085149456
Su_ESC,cut:cor,0.101984928204979,0.20653900218282,0.493780482752145
Su_WSC,ID:ID,1.78002367987911,1.71184619881043,1.03982687294925
Su_WSC,OR:OR,0.680454405469247,0.698579566146488,0.974054264459491
Su_WSC,WA:WA,1.05269861318861,0.873420539995763,1.20525974027783
Su_WSC,OR:ID,0.901195002288249,0.845008147405706,1.06649267827185
Su_WSC,WA:ID,0.97446320831162,0.752173459528741,1.29552990200179
Su_WSC,WA:OR,0.562221120085147,0.422018355068565,1.332219590292
Su_WSC,year,0.710015557827128,0.679800443648362,1.04444703509843
Su_WSC,cut:cor,0.630783467755745,0.194315415539146,3.24618335609441
TTNDFD,ID:ID,0.277628082673947,1.19900880328245,0.231547993570942
TTNDFD,OR:OR,0.453773219058592,1.97381079829212,0.229897019233671
TTNDFD,WA:WA,3.0241657920709,10.3155721828079,0.293165104026999
TTNDFD,OR:ID,0.306446959737482,1.48179271691679,0.206808250735039
TTNDFD,WA:ID,0.155938434261981,1.22924359183545,0.126857227727452
TTNDFD,WA:OR,0.402170088317999,2.09365106774995,0.192090312713958
TTNDFD,year,4.07426138871623,5.88899040918771,0.691843780618112
TTNDFD,cut:cor,0.1,NA,NA
