trait,variable,cv,max,mean,median,min,sd.amo,se,ci
ADF,ID_1,2.6836,30.372,28.8412,28.771,27.7507,0.774,0.2925,0.7158
ADF,ID_2,2.9252,34.3542,33.032,32.9048,31.5729,0.9663,0.3652,0.8936
ADF,ID_3,1.3625,32.2241,31.5202,31.6025,30.8561,0.4295,0.1623,0.3972
ADF,ID_4,2.8421,28.6668,28.1662,28.5399,26.4692,0.8005,0.3026,0.7404
ADF,OR_1,1.2728,31.7596,31.112,31.1876,30.4996,0.396,0.1497,0.3662
ADF,OR_2,2.7109,32.9032,31.1017,30.8037,30.3369,0.8431,0.3187,0.7798
ADF,OR_3,1.1196,30.9908,30.4366,30.501,29.9096,0.3408,0.1288,0.3152
ADF,OR_4,3.4142,29.9698,28.883,28.9887,26.8734,0.9861,0.3727,0.912
ADF,WA_1,1.9927,31.7967,31.0888,30.9459,30.2893,0.6195,0.2342,0.573
ADF,WA_2,0.3142,27.2153,27.1197,27.1299,26.9941,0.0852,0.0322,0.0788
ADF,WA_3,0.3104,27.194,27.1009,27.1104,26.976,0.0841,0.0318,0.0778
ADF,WA_4,2.5964,29.7841,28.6821,28.4994,27.7598,0.7447,0.2815,0.6887
ADF,WA_5,0.5214,28.211,27.9944,28.0184,27.7763,0.1459,0.0552,0.135
aNDF,ID_1,1.8558,33.0565,31.844,31.755,31.1185,0.591,0.2234,0.5466
aNDF,ID_2,3.9333,40.6093,38.7166,38.7077,36.4474,1.5228,0.5756,1.4084
aNDF,ID_3,1.7844,38.202,37.2244,37.2802,36.2401,0.6642,0.251,0.6143
aNDF,ID_4,3.5012,34.9027,34.0845,34.6281,31.5808,1.1934,0.451,1.1037
aNDF,OR_1,1.3866,35.8864,35.1612,35.1998,34.4342,0.4876,0.1843,0.4509
aNDF,OR_2,2.1278,36.8565,35.3836,35.0995,34.6372,0.7529,0.2846,0.6963
aNDF,OR_3,1.3223,35.5354,34.8485,34.8844,34.1605,0.4608,0.1742,0.4262
aNDF,OR_4,4.9733,36.6632,35.0557,35.4235,31.2995,1.7434,0.659,1.6124
aNDF,WA_1,1.218,34.9791,34.3529,34.3847,33.7267,0.4184,0.1581,0.387
aNDF,WA_2,0.3849,31.0098,30.8164,30.8186,30.6311,0.1186,0.0448,0.1097
aNDF,WA_3,0.318,30.7138,30.5527,30.5637,30.4003,0.0971,0.0367,0.0898
aNDF,WA_4,1.7665,34.6345,33.6651,33.6544,33.0248,0.5947,0.2248,0.55
aNDF,WA_5,0.7984,32.8874,32.4893,32.5055,32.0954,0.2594,0.098,0.2399
Ash,ID_1,1.9659,9.2104,8.9106,8.8892,8.6268,0.1752,0.0662,0.162
Ash,ID_2,2.0235,8.3936,8.1772,8.1325,7.9841,0.1655,0.0625,0.153
Ash,ID_3,0.295,10.3801,10.3572,10.3673,10.2909,0.0306,0.0115,0.0283
Ash,ID_4,0.5153,10.9222,10.876,10.8815,10.7549,0.056,0.0212,0.0518
Ash,OR_1,0.3565,9.3048,9.2549,9.2361,9.2255,0.033,0.0125,0.0305
Ash,OR_2,2.3213,10.2564,9.9465,9.9349,9.6694,0.2309,0.0873,0.2135
Ash,OR_3,0.2209,10.19,10.1753,10.1866,10.1281,0.0225,0.0085,0.0208
Ash,OR_4,0.886,9.2375,9.0957,9.0805,8.9998,0.0806,0.0305,0.0745
Ash,WA_1,0.4382,9.1762,9.1112,9.0877,9.0767,0.0399,0.0151,0.0369
Ash,WA_2,0.1998,10.1344,10.1189,10.1284,10.0777,0.0202,0.0076,0.0187
Ash,WA_3,0.1398,9.8227,9.8031,9.8011,9.7866,0.0137,0.0052,0.0127
Ash,WA_4,4.1467,9.7131,9.3477,9.4759,8.836,0.3876,0.1465,0.3585
Ash,WA_5,0.682,8.8265,8.7202,8.6839,8.6695,0.0595,0.0225,0.055
Ca,ID_1,0.1926,1.3147,1.3101,1.3093,1.3077,0.0025,0.001,0.0023
Ca,ID_2,6.053,1.2446,1.1276,1.1189,1.0462,0.0683,0.0258,0.0631
Ca,ID_3,0.3221,1.4529,1.4447,1.4425,1.4391,0.0047,0.0018,0.0043
Ca,ID_4,1.1304,1.3965,1.3727,1.377,1.352,0.0155,0.0059,0.0144
Ca,OR_1,0.2426,1.2736,1.2687,1.2679,1.2653,0.0031,0.0012,0.0028
Ca,OR_2,0.1919,1.316,1.3114,1.3106,1.309,0.0025,0.001,0.0023
Ca,OR_3,1.7807,1.2958,1.255,1.2569,1.2295,0.0223,0.0084,0.0207
Ca,OR_4,0.2515,1.2686,1.2637,1.2629,1.2602,0.0032,0.0012,0.0029
Ca,WA_1,1.4028,1.3023,1.2782,1.2745,1.2531,0.0179,0.0068,0.0166
Ca,WA_2,0.2712,1.2584,1.2534,1.2527,1.2496,0.0034,0.0013,0.0031
Ca,WA_3,4.6359,1.3286,1.2514,1.2534,1.1445,0.058,0.0219,0.0537
Ca,WA_4,5.703,1.3221,1.2757,1.317,1.1349,0.0728,0.0275,0.0673
Ca,WA_5,1.728,1.4173,1.3799,1.3797,1.341,0.0238,0.009,0.0221
Cprot,ID_1,2.3321,20.9587,20.6154,20.7696,19.5915,0.4808,0.1817,0.4446
Cprot,ID_2,1.4701,21.8905,21.2388,21.1342,20.9468,0.3122,0.118,0.2888
Cprot,ID_3,0.7038,22.0707,21.817,21.8437,21.6003,0.1536,0.058,0.142
Cprot,ID_4,0.1838,25.3286,25.2292,25.2205,25.1827,0.0464,0.0175,0.0429
Cprot,OR_1,1.1613,21.9132,21.6421,21.7458,21.1542,0.2513,0.095,0.2324
Cprot,OR_2,0.9621,21.2076,20.8847,20.9224,20.5816,0.2009,0.0759,0.1858
Cprot,OR_3,0.8024,21.7312,21.4503,21.4813,21.1996,0.1721,0.0651,0.1592
Cprot,OR_4,2.2766,21.8346,20.8573,20.6569,20.4403,0.4748,0.1795,0.4392
Cprot,WA_1,0.385,23.2824,23.1259,23.1371,23.0277,0.089,0.0336,0.0823
Cprot,WA_2,3.2873,25.6187,24.8032,25.2179,23.7789,0.8154,0.3082,0.7541
Cprot,WA_3,2.0136,25.3778,24.8557,25.041,23.8191,0.5005,0.1892,0.4629
Cprot,WA_4,4.0176,24.2354,23.249,23.5361,21.8115,0.9341,0.353,0.8639
Cprot,WA_5,0.7154,22.0302,21.7733,21.8005,21.5525,0.1558,0.0589,0.1441
DM,ID_1,0.0063,93.0043,92.9981,92.9998,92.9869,0.0058,0.0022,0.0054
DM,ID_2,0.0215,94.218,94.1987,94.1999,94.1584,0.0202,0.0076,0.0187
DM,ID_3,0.0259,95.5486,95.5194,95.5245,95.4714,0.0248,0.0094,0.0229
DM,ID_4,0.1736,95.4432,95.2654,95.2849,94.9371,0.1654,0.0625,0.153
